VARIABLE_NAME,DESCRIPTION,LOCATION,XPATH,VERSION,REQUIRED,NOTES,FLAG,Analyst
F9-EZ-03-TOTREV,Total revenue for the current fiscal year,F990-PC-PART-03-SECTION-A-LINE-09B,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalRev,2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,TRUE,This is the PC note,FALSE,Polk
F9-EZ-03-TOTREV,Total revenue for the current fiscal year,F990-PC-PART-03-SECTION-A-LINE-09B,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalExemptPurposeRevenues,2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,TRUE,NA,FALSE,Polk
F9-EZ-03-TOTREV,Total revenue for the current fiscal year,F990-EZ-PART-03-LINE-09B,/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalRevenues,2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,Not sure if required,TRUE,Polk
F9-PC-12-SCHEDO,Schedule O contains a response to a question in Part XII,F990-PC-PART-12-LINE-00,/Return/ReturnData/IRS990/InfoInScheduleOPartXII,2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,NA,FALSE,Polk
F9-PC-12-SCHEDO,Schedule O contains a response to a question in Part XII,F990-PC-PART-12-LINE-00,/Return/ReturnData/IRS990/InfoInScheduleOPartXIIInd,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,NA,FALSE,Polk
F9-PC-12-ACCTACCRU,Method of accounting - Accrual,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingAccrual,2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTACCRU,Method of accounting - Accrual,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingAccrualInd,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTACCRU,Method of accounting - Accrual,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingAccrual,2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTCASH,Method of accounting - Cash,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingCash,2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTCASH,Method of accounting - Cash,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingCashInd,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTCASH,Method of accounting - Cash,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingCash,2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTOTH,Method of accounting - Other,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingOther,2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,Not sure if required,FALSE,Polk
F9-PC-12-ACCTOTH,Method of accounting - Other,F990-PC-PART-12-LINE-01,/Return/ReturnData/IRS990/MethodOfAccountingOtherInd,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,Not sure if required,FALSE,Polk
