xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/City,F9_06_PZ_RECPERSADDFCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: foreign address, city",[ForeignAddress] Part VI Section C Line 20,F990-PC-PART-06-SECTION-C-LINE-20,F990-PC,F990,PC,PART-06,Line 20,PZ,TextType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/CityNm,F9_06_PZ_RECPERSADDFCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: foreign address, city",[ForeignAddress] Part VI Section C Line 20,F990-PC-PART-06-SECTION-C-LINE-20,F990-PC,F990,PC,PART-06,Line 20,PZ,TextType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/City,F9_06_PZ_RECPERSADDCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: US  address, city",[USAddress] Part VI Section C Line 20,F990-PC-PART-06-SECTION-C-LINE-20,F990-PC,F990,PC,PART-06,Line 20,PZ,CityType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/CityNm,F9_06_PZ_RECPERSADDCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: US  address, city",[USAddress] Part VI Section C Line 20,F990-PC-PART-06-SECTION-C-LINE-20,F990-PC,F990,PC,PART-06,Line 20,PZ,CityType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/TheBooksAreInCareOf/AddressForeign/City,F9_06_PZ_RECPERSADDFCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: foreign address, city",[AddressForeign] Part VI Section C Line 20,F990-PC-PART-06-SECTION-C-LINE-20,F990-PC,F990,PC,PART-06,Line 20,PZ,TextType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/TheBooksAreInCareOf/AddressUS/City,F9_06_PZ_RECPERSADDCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: US  address, city",[AddressUS] Part VI Section C Line 20,F990-PC-PART-06-SECTION-C-LINE-20,F990-PC,F990,PC,PART-06,Line 20,PZ,CityType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990EZ/BooksInCareOfDetail/ForeignAddress/City,F9_06_PZ_RECPERSADDFCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: foreign address, city",[ForeignAddress] Part V Line 42a,F990-EZ-PART-05-LINE-42A,F990-EZ,F990,EZ,PART-05,Line 42a,PZ,TextType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990EZ/BooksInCareOfDetail/ForeignAddress/CityNm,F9_06_PZ_RECPERSADDFCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: foreign address, city",[ForeignAddress] Part V Line 42a,F990-EZ-PART-05-LINE-42A,F990-EZ,F990,EZ,PART-05,Line 42a,PZ,TextType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990EZ/BooksInCareOfDetail/USAddress/City,F9_06_PZ_RECPERSADDCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: US  address, city",[USAddress] Part V Line 42a,F990-EZ-PART-05-LINE-42A,F990-EZ,F990,EZ,PART-05,Line 42a,PZ,CityType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990EZ/BooksInCareOfDetail/USAddress/CityNm,F9_06_PZ_RECPERSADDCITY,F9_06_DISCLOSURE_BOOKS_ADDR_CITY,32,"Person who possesses the organization's books and records: US  address, city",[USAddress] Part V Line 42a,F990-EZ-PART-05-LINE-42A,F990-EZ,F990,EZ,PART-05,Line 42a,PZ,CityType,text,ONE,F9-P06-T00-GOVERNANCE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
