xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,scope,part,line_number,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/FederatedCampaigns,F9_08_PC_FEDCAMP,F9_08_REV_CONTR_CAMP_FED,24,Federated campaigns,[FederatedCampaigns] Part VIII Line 1a,F990-PC-PART-08-LINE-01A,F990-PC,PC,PART-08,Line 01a,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/FederatedCampaignsAmt,F9_08_PC_FEDCAMP,F9_08_REV_CONTR_CAMP_FED,24,Federated campaigns,[FederatedCampaignsAmt] Part VIII Line 1a,F990-PC-PART-08-LINE-01A,F990-PC,PC,PART-08,Line 01a,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIII/FederatedCampaigns,F9_08_PC_FEDERACAMPAI,F9_08_REV_CONTR_CAMP_FED,24,Federated campaigns,,F990-PC-PART-08-LINE-01A,F990-PC,PC,PART-08,Line 01a,,numeric,ONE,F9-P08-T00-REVENUE,,,,,,,
/Return/ReturnData/IRS990/FundraisingAmt,F9_08_PC_FUNDEVENTS,F9_08_REV_CONTR_FUNDREVNTS,26,Fundraising Events,[FundraisingAmt] Part VIII Line 1c,F990-PC-PART-08-LINE-01C,F990-PC,PC,PART-08,Line 01c,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/FundraisingEvents,F9_08_PC_FUNDEVENTS,F9_08_REV_CONTR_FUNDREVNTS,26,Fundraising Events,[FundraisingEvents] Part VIII Line 1c,F990-PC-PART-08-LINE-01C,F990-PC,PC,PART-08,Line 01c,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/Form990PartVIII/FundraisingEvents,F9_08_PC_FUNDRAEVENTS,F9_08_REV_CONTR_FUNDREVNTS,26,Fundraising events,,F990-PC-PART-08-LINE-01C,F990-PC,PC,PART-08,Line 01c,,numeric,ONE,F9-P08-T00-REVENUE,,,,,,,
/Return/ReturnData/IRS990/GovernmentGrants,F9_08_PC_GOVGRANTSREV,F9_08_REV_CONTR_GOVT_GRANTS,27,Government grants (contributions),[GovernmentGrants] Part VIII Line 1e,F990-PC-PART-08-LINE-01E,F990-PC,PC,PART-08,Line 01e,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/GovernmentGrantsAmt,F9_08_PC_GOVGRANTSREV,F9_08_REV_CONTR_GOVT_GRANTS,27,Government grants (contributions),[GovernmentGrantsAmt] Part VIII Line 1e,F990-PC-PART-08-LINE-01E,F990-PC,PC,PART-08,Line 01e,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIII/GovernmentGrants,F9_08_PC_GOVERNGRANTS,F9_08_REV_CONTR_GOVT_GRANTS,27,Government grants (contributions),,F990-PC-PART-08-LINE-01E,F990-PC,PC,PART-08,Line 01e,,numeric,ONE,F9-P08-T00-REVENUE,,,,,,,
/Return/ReturnData/IRS990EZ/MembershipDues,F9_08_PZ_MEMDUES,F9_08_REV_CONTR_MEMBSHIP_DUES,29,Membership Dues,[MembershipDues] Part I Line 3,F990-EZ-PART-01-LINE-03,F990-EZ,PZ,PART-08,Line 03,USAmountNNType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990EZ/MembershipDuesAmt,F9_08_PZ_MEMDUES,F9_08_REV_CONTR_MEMBSHIP_DUES,29,Membership Dues,[MembershipDuesAmt] Part I Line 3,F990-EZ-PART-01-LINE-03,F990-EZ,PZ,PART-08,Line 03,USAmountNNType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/MembershipDues,F9_08_PZ_MEMDUES,F9_08_REV_CONTR_MEMBSHIP_DUES,29,Membership Dues,[MembershipDues] Part VIII Line 1b,F990-PC-PART-08-LINE-01B,F990-PC,PZ,PART-08,Line 01b,USAmountNNType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/MembershipDuesAmt,F9_08_PZ_MEMDUES,F9_08_REV_CONTR_MEMBSHIP_DUES,29,Membership Dues,[MembershipDuesAmt] Part VIII Line 1b,F990-PC-PART-08-LINE-01B,F990-PC,PZ,PART-08,Line 01b,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/NoncashContributions,F9_08_PC_NONCASHCONTRIB,F9_08_REV_CONTR_NONCASH,23,Noncash contributions,[NoncashContributions] Part VIII Line 1g,F990-PC-PART-08-LINE-01G,F990-PC,PC,PART-08,Line 01g,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/NoncashContributionsAmt,F9_08_PC_NONCASHCONTRIB,F9_08_REV_CONTR_NONCASH,23,Noncash contributions,[NoncashContributionsAmt] Part VIII Line 1g,F990-PC-PART-08-LINE-01G,F990-PC,PC,PART-08,Line 01g,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIII/NoncashContributions,F9_08_PC_NONCASCONTRI,F9_08_REV_CONTR_NONCASH,23,Noncash contributions; attach Schedule M,,F990-PC-PART-08-LINE-01G,F990-PC,PC,PART-08,Line 01g,,numeric,ONE,F9-P08-T00-REVENUE,,,,,,,
/Return/ReturnData/IRS990/RelatedOrganizations,F9_08_PC_RELORGSREV,F9_08_REV_CONTR_ORG_REL,23,Related organizations,[RelatedOrganizations] Part VIII Line 1d,F990-PC-PART-08-LINE-01D,F990-PC,PC,PART-08,Line 01d,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
