xpath,variable_name,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnHeader/Filer/NameControl,F9_00_NAME_ORG_CTRL,Name of Filing Organization (Control Text),,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,BusinessNameControlType,text,ONE,F9-P00-T00-HEADER,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/Filer/BusinessNameControlTxt,F9_00_NAME_ORG_CTRL,Name of Filing Organization (Control Text),,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,BusinessNameControlType,text,ONE,F9-P00-T00-HEADER,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/BuildTS,F9_00_BUILD_TIME_STAMP,Build time stamp - IRS internal field,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,,date,ONE,F9-P00-T00-HEADER,,,,,,,
/Return/ReturnHeader/Timestamp,F9_00_RETURN_TIME_STAMP,The date and time when the return was created,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,TimestampType,date,ONE,F9-P00-T00-HEADER,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/ReturnTs,F9_00_RETURN_TIME_STAMP,The date and time when the return was created,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,TimestampType,date,ONE,F9-P00-T00-HEADER,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/ReturnType,F9_00_RETURN_TYPE,Return type,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,StringType,text,ONE,F9-P00-T00-HEADER,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/ReturnTypeCd,F9_00_RETURN_TYPE,Return type,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,StringType,text,ONE,F9-P00-T00-HEADER,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990EZ/SpecialConditionDescription,F9_00_SPECIAL_COND_DESC,Special condition description,,F990-PC-PART-00-LINE-00,F990-EZ-PART-00-LINE-00,F990,EZ,PART-00,Line 00,HD,TextType,text,ONE,F9-P00-T00-HEADER,,2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990EZ/SpecialConditionDesc,F9_00_SPECIAL_COND_DESC,Special condition description,,F990-PC-PART-00-LINE-00,F990-EZ-PART-00-LINE-00,F990,EZ,PART-00,Line 00,HD,TextType,text,ONE,F9-P00-T00-HEADER,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/SpecialConditionDescription,F9_00_SPECIAL_COND_DESC,Special condition description,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,TextType,text,ONE,F9-P00-T00-HEADER,,2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/SpecialConditionDesc,F9_00_SPECIAL_COND_DESC,Special condition description,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,TextType,text,ONE,F9-P00-T00-HEADER,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/TaxPeriodBeginDate,F9_00_TAX_PERIOD_BEGIN_DATE,Tax period begin date,,F990-PC-PART-00-SECTION-A,F990-PC-PART-00-SECTION-A,F990,PC,PART-00,Section A,HD,DateType,date,ONE,F9-P00-T00-HEADER,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/TaxPeriodBeginDt,F9_00_TAX_PERIOD_BEGIN_DATE,Tax period begin date,,F990-PC-PART-00-SECTION-A,F990-PC-PART-00-SECTION-A,F990,PC,PART-00,Section A,HD,DateType,date,ONE,F9-P00-T00-HEADER,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/TaxPeriodEndDate,F9_00_TAX_PERIOD_END_DATE,Tax period end date,,F990-PC-PART-00-SECTION-A,F990-PC-PART-00-SECTION-A,F990,PC,PART-00,Section A,HD,DateType,date,ONE,F9-P00-T00-HEADER,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/TaxPeriodEndDt,F9_00_TAX_PERIOD_END_DATE,Tax period end date,,F990-PC-PART-00-SECTION-A,F990-PC-PART-00-SECTION-A,F990,PC,PART-00,Section A,HD,DateType,date,ONE,F9-P00-T00-HEADER,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/TaxYear,F9_00_TAX_YEAR,Tax year,,F990-PC-PART-00-SECTION-A,F990-PC-PART-00-SECTION-A,F990,PC,PART-00,Section A,HD,YearType,date,ONE,F9-P00-T00-HEADER,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
