xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleG/MailSolicitations,SG_01_FUNDR_ACT_SOL_MAIL_X,Mail solicitations,[MailSolicitations] Part I Line 1,SCHED-G-PART-01-LINE-01A,SCHED-G,SZ,PART-01,Line 01a,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleG/MailSolicitationsInd,SG_01_FUNDR_ACT_SOL_MAIL_X,Mail solicitations,[MailSolicitationsInd] Part I Line 1,SCHED-G-PART-01-LINE-01A,SCHED-G,SZ,PART-01,Line 01a,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleG/Form990ScheduleGPartI/MailSolicitations,SG_01_FUNDR_ACT_SOL_MAIL_X,Mail solicitations,,SCHED-G-PART-01-LINE-01A,SCHED-G,SZ,PART-01,Line 01a,PZ,,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,,,,,,
/Return/ReturnData/IRS990ScheduleG/EmailSolicitations,SG_01_FUNDR_ACT_SOL_EMAIL_X,Email solicitations,[EmailSolicitations] Part I Line 1,SCHED-G-PART-01-LINE-01B,SCHED-G,SZ,PART-01,Line 01b,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleG/EmailSolicitationsInd,SG_01_FUNDR_ACT_SOL_EMAIL_X,Email solicitations,[EmailSolicitationsInd] Part I Line 1,SCHED-G-PART-01-LINE-01B,SCHED-G,SZ,PART-01,Line 01b,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleG/Form990ScheduleGPartI/EmailSolicitations,SG_01_FUNDR_ACT_SOL_EMAIL_X,Email solicitations,,SCHED-G-PART-01-LINE-01B,SCHED-G,SZ,PART-01,Line 01b,PZ,,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,,,,,,
/Return/ReturnData/IRS990ScheduleG/PhoneSolicitations,SG_01_FUNDR_ACT_SOL_PHONE_X,Phone solicitations,[PhoneSolicitations] Part I Line 1,SCHED-G-PART-01-LINE-01C,SCHED-G,SZ,PART-01,Line 01c,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleG/PhoneSolicitationsInd,SG_01_FUNDR_ACT_SOL_PHONE_X,Phone solicitations,[PhoneSolicitationsInd] Part I Line 1,SCHED-G-PART-01-LINE-01C,SCHED-G,SZ,PART-01,Line 01c,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleG/Form990ScheduleGPartI/PhoneSolicitations,SG_01_FUNDR_ACT_SOL_PHONE_X,Phone solicitations,,SCHED-G-PART-01-LINE-01C,SCHED-G,SZ,PART-01,Line 01c,PZ,,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,,,,,,
/Return/ReturnData/IRS990ScheduleG/InPersonSolicitations,SG_01_FUNDR_ACT_SOL_IN_PERSON_X,In-person solicitations,[InPersonSolicitations] Part I Line 1,SCHED-G-PART-01-LINE-01D,SCHED-G,SZ,PART-01,Line 01d,PZ,CheckboxType,checkbox,ONE,SG-P01-T00-FUNDRAISING-ACTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
