"xpath","variable_name","variable_name_new","len()","description","location_code_xsd","location_code","form","form_type","form_part","form_line_number","variable_scope","data_type_xsd","data_type_simple","rdb_relationship","rdb_table","required","versions","latest_version","duplicated","current_version","production_rule","validated"
"/Return/ReturnData/AccountingFeesSchedule/AccountingFees/Amount","AF_01_PF_ACCOFEESAMOU","PF_AX01_ACC_FEE_AMT",19,"Accounting Fees - Amount",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/Amt","AF_01_PF_ACCOFEESDETA","PF_AX01_ACC_FEE_AMT",19,"Accounting Fees Detail - Amount",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFees/Category","AF_01_PF_ACCOFEESCATE","PF_AX01_ACC_FEE_CATEGORY",24,"Accounting Fees - Category",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"text","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/CategoryTxt","AF_01_PF_ACCFEEDETCAT","PF_AX01_ACC_FEE_CATEGORY",24,"Accounting Fees Detail - Category",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"text","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFees/DisbursementsCharitablePrps","AF_01_PF_ACFEDICHPRRP","PF_AX01_ACC_FEE_DISBMT_CHARIT",29,"Disbursements for Charitable Purposes",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/DisbursementsCharitablePrpsAmt","AF_01_PF_ACFEDEDICHPR","PF_AX01_ACC_FEE_DISBMT_CHARIT",29,"Disbursements for Charitable Purposes",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFees/AdjustedNetIncome","AF_01_PF_ACFEADNEINNC","PF_AX01_ACC_FEE_INCOME_NET_ADJ",30,"Adjusted Net Income",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/AdjustedNetIncomeAmt","AF_01_PF_ACFEDEADNEIN","PF_AX01_ACC_FEE_INCOME_NET_ADJ",30,"Adjusted Net Income",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFees/NetInvestmentIncome","AF_01_PF_ACFENEININNC","PF_AX01_ACC_FEE_INVEST_NET",27,"Net Investment Income",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
"/Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/NetInvestmentIncomeAmt","AF_01_PF_ACFEDENEININ","PF_AX01_ACC_FEE_INVEST_NET",27,"Net Investment Income",,"F990-PF-PART-99-AUX-SCHED-01","F990","PF","PART-99","AUX-SCHED-01","PF",,"numeric","MANY","PF-P99-T01-ACC-FEES",,,,,,,
