"xpath","variable_name","variable_name_new","len()","description","location_code_xsd","location_code","form","form_type","form_part","form_line_number","variable_scope","data_type_xsd","data_type_simple","rdb_relationship","rdb_table","required","versions","latest_version","duplicated","current_version","production_rule","validated"
"/Return/ReturnData/IRS990PF/ChangesInNetAssetsFundBalances/TotalNetAssetsFundBalancesBOY","F9_03_PF_CINAFBTNAFBB","PF_03_NAFB_TOT_BOY_BV",21,"Total Net Assets or Fund Balances at Beginning of Year","[TotalNetAssetsFundBalancesBOY] Part III Line 1","F990-PF-PART-03-LINE-01","F990","PF","PART-03","Line 01","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ChgInNetAssetsFundBalancesGrp/TotNetAstOrFundBalancesBOYAmt","F9_03_PF_CINAFBTNABOY","PF_03_NAFB_TOT_BOY_BV",21,"Total Net Assets or Fund Balances at Beginning of Year","[TotNetAstOrFundBalancesBOYAmt] Part III Line 1","F990-PF-PART-03-LINE-01","F990","PF","PART-03","Line 01","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ChangesInNetAssetsFundBalances/ExcessOfRevenueOverExpenses","F9_03_PF_CINAFBEOROEX","PF_03_EXCESS_REV_OVER_EXP_BOOKS",31,"Excess of Revenue Over Expenses and Disbursements - Revenue and Expenses per Books","[ExcessOfRevenueOverExpenses] Part III Line 2","F990-PF-PART-03-LINE-02","F990","PF","PART-03","Line 02","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ChgInNetAssetsFundBalancesGrp/ExcessRevenueOverExpensesAmt","F9_03_PF_CINAFBEROEXP","PF_03_EXCESS_REV_OVER_EXP_BOOKS",31,"Excess of Revenue Over Expenses and Disbursements - Revenue and Expenses per Books","[ExcessRevenueOverExpensesAmt] Part III Line 2","F990-PF-PART-03-LINE-02","F990","PF","PART-03","Line 02","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ChangesInNetAssetsFundBalances/OtherIncreases","F9_03_PF_CINAFBOINCRE","PF_03_NAFB_OTH_INCREASE",23,"Other Increases","[OtherIncreases] Part III Line 3","F990-PF-PART-03-LINE-03","F990","PF","PART-03","Line 03","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ChgInNetAssetsFundBalancesGrp/OtherIncreasesAmt","F9_03_PF_CINAFBOINCRE","PF_03_NAFB_OTH_INCREASE",23,"Other Increases","[OtherIncreasesAmt] Part III Line 3","F990-PF-PART-03-LINE-03","F990","PF","PART-03","Line 03","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ChangesInNetAssetsFundBalances/Subtotal","F9_03_PF_CINAFBSUBTOT","PF_03_NAFB_CHANGE_SUBTOT",24,"Changes In Net Assets Fund Balances - Subtotal","[Subtotal] Part III Line 4","F990-PF-PART-03-LINE-04","F990","PF","PART-03","Line 04","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ChgInNetAssetsFundBalancesGrp/SubtotalAmt","F9_03_PF_CINAFBSUBTOT","PF_03_NAFB_CHANGE_SUBTOT",24,"Chg In Net Assets Fund Balances Grp - Subtotal","[SubtotalAmt] Part III Line 4","F990-PF-PART-03-LINE-04","F990","PF","PART-03","Line 04","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ChangesInNetAssetsFundBalances/OtherDecreases","F9_03_PF_CINAFBODECRE","PF_03_NAFB_OTH_DECREASE",23,"Other Decreases","[OtherDecreases] Part III Line 5","F990-PF-PART-03-LINE-05","F990","PF","PART-03","Line 05","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ChgInNetAssetsFundBalancesGrp/OtherDecreasesAmt","F9_03_PF_CINAFBODECRE","PF_03_NAFB_OTH_DECREASE",23,"Other Decreases","[OtherDecreasesAmt] Part III Line 5","F990-PF-PART-03-LINE-05","F990","PF","PART-03","Line 05","PF",,"numeric","ONE","PF-P03-T00-NET-ASSET-FUND-BALANCE-CHANGE",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
