"xpath","variable_name","variable_name_new","len()","description","location_code_xsd","location_code","form","form_type","form_part","form_line_number","variable_scope","data_type_xsd","data_type_simple","rdb_relationship","rdb_table","required","versions","latest_version","duplicated","current_version","production_rule","validated"
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvestmentIncm/InvestmentIncomeExciseTax","F9_06_PF_ETBOIIIIETAX","PF_06_EXCISE_TAX_INVEST_INCOME",30,"Investment Income Excise Tax - amount","[InvestmentIncomeExciseTax] Part VI Line 1","F990-PF-PART-06-LINE-01","F990","PF","PART-06","Line 01","PF",,"numeric","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvstIncmGrp/InvestmentIncomeExciseTaxAmt","F9_06_PF_ETBOIIIIETAX","PF_06_EXCISE_TAX_INVEST_INCOME",30,"Investment Income Excise Tax - amount","[InvestmentIncomeExciseTaxAmt] Part VI Line 1","F990-PF-PART-06-LINE-01","F990","PF","PART-06","Line 01","PF",,"numeric","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvestmentIncm/InvestmentIncomeExciseTaxNA","F9_06_PF_ETBOIIIIETNA","PF_06_EXCISE_TAX_INVEST_NA",26,"Investment Income Excise Tax - ""N/A""","[InvestmentIncomeExciseTaxNA] Part VI Line 1","F990-PF-PART-06-LINE-01","F990","PF","PART-06","Line 01","PF",,"text","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvstIncmGrp/NotApplicableCd","F9_06_PF_ETBOIINAPPLI","PF_06_EXCISE_TAX_INVEST_NA",26,"Investment Income Excise Tax - ""N/A""","[NotApplicableCd] Part VI Line 1","F990-PF-PART-06-LINE-01","F990","PF","PART-06","Line 01","PF",,"text","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvestmentIncm/DateOfRulingLetter","F9_06_PF_ETBOIIDORLET","PF_06_EXCISE_TAX_ORG_DATE_RULING",32,"Date of Ruling Letter","[DateOfRulingLetter] Part VI Line 1a","F990-PF-PART-06-LINE-01A","F990","PF","PART-06","Line 01a","PF",,"date","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvstIncmGrp/RulingLetterDt","F9_06_PF_ETBOIIRLDT","PF_06_EXCISE_TAX_ORG_DATE_RULING",32,"Date of Ruling Letter","[RulingLetterDt] Part VI Line 1a","F990-PF-PART-06-LINE-01A","F990","PF","PART-06","Line 01a","PF",,"date","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvestmentIncm/ExemptOperatingFoundations","F9_06_PF_ETBOIIEOFOUN","PF_06_EXCISE_TAX_ORG_OPERATING_X",32,"Exempt Operating Foundations","[ExemptOperatingFoundations] Part VI Line 1a","F990-PF-PART-06-LINE-01A","F990","PF","PART-06","Line 01a","PF",,"checkbox","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvstIncmGrp/ExemptOperatingFoundationsInd","F9_06_PF_ETBOIIEOFIND","PF_06_EXCISE_TAX_ORG_OPERATING_X",32,"Exempt Operating Foundations","[ExemptOperatingFoundationsInd] Part VI Line 1a","F990-PF-PART-06-LINE-01A","F990","PF","PART-06","Line 01a","PF",,"checkbox","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvestmentIncm/DomesticOrgMeetingSect4940e","F9_06_PF_ETBOIIDOMSEC","PF_06_EXCISE_TAX_ORG_DMSTC_X",28,"Domestic Organizations Meeting Section 4940(e) Requirements","[DomesticOrgMeetingSect4940e] Part VI Line 1b","F990-PF-PART-06-LINE-01B","F990","PF","PART-06","Line 01b","PF",,"checkbox","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/ExciseTaxBasedOnInvstIncmGrp/DomesticOrgMeetingSect4940eInd","F9_06_PF_ETBOIIDOMSIN","PF_06_EXCISE_TAX_ORG_DMSTC_X",28,"Domestic Organizations Meeting Section 4940(e) Requirements","[DomesticOrgMeetingSect4940eInd] Part VI Line 1b","F990-PF-PART-06-LINE-01B","F990","PF","PART-06","Line 01b","PF",,"checkbox","ONE","PF-P06-T00-INVEST-INCOME-EXCISE-TAX",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
