Version,Source,Xpath,Type,Description,Line,MinOccur,MaxOccur
2021v4.2,IRS990,Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt,xsd:decimal,Average hours per week for related organizations,Part VII Section A Line 1a B,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd,CheckboxType,Individual trustee or director,Part VII Section A Line 1a C,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Form990PartVIISectionAGrp/InstitutionalTrusteeInd,CheckboxType,Institutional Trustee,Part VII Section A Line 1a C,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalAssetsBOYAmt,USAmountType,"Total Assets, BOY",Part I Line 20,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd,CheckboxType,Officer,Part VII Section A Line 1a C,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Form990PartVIISectionAGrp/KeyEmployeeInd,CheckboxType,Key Employee,Part VII Section A Line 1a C,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/PoliticalCampaignActyInd,BooleanType,Political activities?,Part IV Line 3,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalAssetsEOYAmt,USAmountType,"Total Assets, EOY",Part I Line 20,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/LobbyingActivitiesInd,BooleanType,Lobbying activities?,Part IV Line 4,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/SubjectToProxyTaxInd,BooleanType,Subject to proxy tax?,Part IV Line 5,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/DonorAdvisedFundInd,BooleanType,Donor advised funds?,Part IV Line 6,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalLiabilitiesBOYAmt,USAmountType,"Total Liabilities, BOY",Part I Line 21,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalLiabilitiesEOYAmt,USAmountType,"Total Liabilities, EOY",Part I Line 21,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetAssetsOrFundBalancesBOYAmt,USAmountType,"Net Assets or Fund Balances, BOY",Part I Line 22,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/NetAssetsOrFundBalancesEOYAmt,USAmountType,"Net Assets or Fund Balances, EOY",Part I Line 22,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/InfoInScheduleOPartIIIInd,CheckboxType,Schedule O contains a response to a question in Part III,Part III,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/MissionDesc,ShortExplanationType,Mission description,Part III Line 1,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/SignificantNewProgramSrvcInd,BooleanType,Significant new program services?,Part III Line 2,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/SignificantChangeInd,BooleanType,Significant change?,Part III Line 3,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ActivityCd,IntegerNNType,Activity code,Part III Line 4a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/ExpenseAmt,USAmountType,Expense,Part III Line 4a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/GrantAmt,USAmountType,Grants,Part III Line 4a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/RevenueAmt,USAmountType,Revenue,Part III Line 4a,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/Desc,ExplanationType,Description,Part III Line 4a,1,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalOtherProgSrvcExpenseAmt,USAmountType,Total of other program service expense,Part III Line 4d,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalOtherProgSrvcGrantAmt,USAmountType,Total of other program service grants,Part III Line 4d,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalOtherProgSrvcRevenueAmt,USAmountType,Total of other program service revenue,Part III Line 4d,0,None
2021v4.2,IRS990,Return/ReturnData/IRS990/TotalProgramServiceExpensesAmt,USAmountType,Total program service expense,Part III Line 4e,0,None
