rownum,year,type,url
1,1992,f990-w-fy,https://www.irs.gov/pub/irs-prior/f990wfy--1992.pdf
2,2022,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2022.pdf
3,2021,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2021.pdf
4,2020,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2020.pdf
5,2019,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2019.pdf
6,2018,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2018.pdf
7,2017,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2017.pdf
8,2016,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2016.pdf
9,2015,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2015.pdf
10,2014,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2014.pdf
11,2013,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2013.pdf
12,2012,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2012.pdf
13,2011,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2011.pdf
14,2010,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2010.pdf
15,2009,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2009.pdf
16,2008,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2008.pdf
17,2007,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2007.pdf
18,2006,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2006.pdf
19,2005,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2005.pdf
20,2004,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2004.pdf
21,2003,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2003.pdf
22,2001,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2001.pdf
23,2000,f990-w,https://www.irs.gov/pub/irs-prior/f990w--2000.pdf
24,1999,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1999.pdf
25,1998,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1998.pdf
26,1997,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1997.pdf
27,1996,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1996.pdf
28,1995,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1995.pdf
29,1994,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1994.pdf
30,1993,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1993.pdf
31,1992,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1992.pdf
32,1990,f990-w,https://www.irs.gov/pub/irs-prior/f990w--1990.pdf
33,2019,f990-t-schedule-m,https://www.irs.gov/pub/irs-prior/f990tsm--2019.pdf
34,2018,f990-t-schedule-m,https://www.irs.gov/pub/irs-prior/f990tsm--2018.pdf
35,2022,f990-t-schedule-a,https://www.irs.gov/pub/irs-prior/f990tsa--2022.pdf
