xpath,variable_name,rdb_relationship,rdb_table,label,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/AllAffiliatesIncluded,F9_00_ALL_AFFIL_INCL_X,ONE,F9-P00-T00-HEADER,All subordinates included [x],Indicates this form includes all subordinate organizations,[AllAffiliatesIncluded] H(b),F990-PC-PART-00-SECTION-HB,F990-PC-PART-00-SECTION-HB,F990,PC,PART-00,Section H(b),HD,BooleanType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/AllAffiliatesIncludedInd,F9_00_ALL_AFFIL_INCL_X,ONE,F9-P00-T00-HEADER,All subordinates included [x],Indicates this form includes all subordinate organizations,[AllAffiliatesIncludedInd] H(b),F990-PC-PART-00-SECTION-HB,F990-PC-PART-00-SECTION-HB,F990,PC,PART-00,Section H(b),HD,BooleanType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/AllAffiliatesIncluded,F9_00_ALL_AFFIL_INCL_X,ONE,F9-P00-T00-HEADER,All subordinates included [x],All affiliates included?,,F990-PC-PART-00-SECTION-HB,F990-PC-PART-00-SECTION-HB,F990,PC,PART-00,Section H(b),HD,,checkbox,NA,,NA,NA,NA,NA,NA
/Return/ReturnHeader/BuildTS,F9_00_BUILD_TIME_STAMP,ONE,F9-P00-T00-HEADER,Build time stamp,Build time stamp - IRS internal field,,F990-PC-PART-00-LINE-00,F990-PC-PART-00-LINE-00,F990,PC,PART-00,Line 00,HD,,date,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/Form990PartI/Organization4947a1,F9_00_EXEMPT_STAT_4947A1_X,ONE,F9-P00-T00-HEADER,4947(a)(1) organization [x],Indicates a 4947(a)(1) organization,,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,,checkbox,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/Organization4947a1,F9_00_EXEMPT_STAT_4947A1_X,ONE,F9-P00-T00-HEADER,4947(a)(1) organization [x],Indicates a 4947(a)(1) organization,[Organization4947a1] I,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,CheckboxType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Organization4947a1NotPFInd,F9_00_EXEMPT_STAT_4947A1_X,ONE,F9-P00-T00-HEADER,4947(a)(1) organization [x],Indicates a 4947(a)(1) organization,[Organization4947a1NotPFInd] I,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/Organization4947a1,F9_00_EXEMPT_STAT_4947A1_X,ONE,F9-P00-T00-HEADER,4947(a)(1) organization [x],Indicates a 4947(a)(1) organization,[Organization4947a1] J,F990-PC-PART-00-SECTION-I,F990-EZ-PART-00-SECTION-J,F990,EZ,PART-00,Section J,HD,CheckboxType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/Organization4947a1NotPFInd,F9_00_EXEMPT_STAT_4947A1_X,ONE,F9-P00-T00-HEADER,4947(a)(1) organization [x],Indicates a 4947(a)(1) organization,[Organization4947a1NotPFInd] J,F990-PC-PART-00-SECTION-I,F990-EZ-PART-00-SECTION-J,F990,EZ,PART-00,Section J,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/Organization501c,F9_00_EXEMPT_STAT_501C_X,ONE,F9-P00-T00-HEADER,501(c) organization [x],Indicates a 501(c) organization,,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,,checkbox,NA,,NA,NA,NA,NA,NA
/Return/ReturnData/IRS990/Organization501c,F9_00_EXEMPT_STAT_501C_X,ONE,F9-P00-T00-HEADER,501(c) organization [x],Indicates a 501(c) organization,[Organization501c] I,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,CheckboxType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Organization501cInd,F9_00_EXEMPT_STAT_501C_X,ONE,F9-P00-T00-HEADER,501(c) organization [x],Indicates a 501(c) organization,[Organization501cInd] I,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/Organization501c,F9_00_EXEMPT_STAT_501C_X,ONE,F9-P00-T00-HEADER,501(c) organization [x],Indicates a 501(c) organization,[Organization501c] J,F990-PC-PART-00-SECTION-I,F990-EZ-PART-00-SECTION-J,F990,EZ,PART-00,Section J,HD,CheckboxType,checkbox,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/Organization501cInd,F9_00_EXEMPT_STAT_501C_X,ONE,F9-P00-T00-HEADER,501(c) organization [x],Indicates a 501(c) organization,[Organization501cInd] J,F990-PC-PART-00-SECTION-I,F990-EZ-PART-00-SECTION-J,F990,EZ,PART-00,Section J,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Organization501c3,F9_00_EXEMPT_STAT_501C3_X,ONE,F9-P00-T00-HEADER,501(c)(3) organization [x],Indicates a 501(c)(3) organization,[Organization501c3] I,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,CheckboxType,checkbox,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Organization501c3Ind,F9_00_EXEMPT_STAT_501C3_X,ONE,F9-P00-T00-HEADER,501(c)(3) organization [x],Indicates a 501(c)(3) organization,[Organization501c3Ind] I,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/Organization501c3,F9_00_EXEMPT_STAT_501C3_X,ONE,F9-P00-T00-HEADER,501(c)(3) organization [x],Indicates a 501(c)(3) organization,[Organization501c3] J,F990-PC-PART-00-SECTION-I,F990-EZ-PART-00-SECTION-J,F990,EZ,PART-00,Section J,HD,CheckboxType,checkbox,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990EZ/Organization501c3Ind,F9_00_EXEMPT_STAT_501C3_X,ONE,F9-P00-T00-HEADER,501(c)(3) organization [x],Indicates a 501(c)(3) organization,[Organization501c3Ind] J,F990-PC-PART-00-SECTION-I,F990-EZ-PART-00-SECTION-J,F990,EZ,PART-00,Section J,HD,CheckboxType,checkbox,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,FALSE,TRUE,NA,NA
/Return/ReturnData/IRS990/Form990PartI/Organization527,F9_00_EXEMPT_STAT_527_X,ONE,F9-P00-T00-HEADER,527 organization [x],Indicates a 527 organization,,F990-PC-PART-00-SECTION-I,F990-PC-PART-00-SECTION-I,F990,PC,PART-00,Section I,HD,,checkbox,NA,,NA,NA,NA,NA,NA
