xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated,,
/Return/ReturnHeader/BusinessOfficerGrp/DiscussWithPaidPreparerInd,F9_00_HD_THIRDPARTY,F9_00_AUTH_DISC_WITH_PREP_X,27,Indicates whether IRS may discuss return with preparer,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BooleanType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/Officer/AuthorizeThirdParty,F9_00_HD_THIRDPARTY,F9_00_AUTH_DISC_WITH_PREP_X,27,Indicates whether IRS may discuss return with preparer,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BooleanType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/City,F9_00_HD_PREPAREFORCITY,F9_00_PREP_FIRM_ADDR_CITY,25,Foreign Address of Preparer Firm (City),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmUSAddress/City,F9_00_HD_PREPAREUSCITY,F9_00_PREP_FIRM_ADDR_CITY,25,US Address of Preparer Firm (City),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CityType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/City,F9_00_HD_PREPAREFORCITY,F9_00_PREP_FIRM_ADDR_CITY,25,Foreign Address of Preparer Firm (City),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/CityNm,F9_00_HD_PREPAREFORCITY,F9_00_PREP_FIRM_ADDR_CITY,25,Foreign Address of Preparer Firm (City),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/City,F9_00_HD_PREPAREUSCITY,F9_00_PREP_FIRM_ADDR_CITY,25,US Address of Preparer Firm (City),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CityType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/CityNm,F9_00_HD_PREPAREUSCITY,F9_00_PREP_FIRM_ADDR_CITY,25,US Address of Preparer Firm (City),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CityType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/AddressLine1,F9_00_HD_PREPAREFOR1,F9_00_PREP_FIRM_ADDR_L01,24,Foreign Address of Preparer FIrm (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmUSAddress/AddressLine1,F9_00_HD_PREPAREUS1,F9_00_PREP_FIRM_ADDR_L01,24,US Address of Preparer FIrm (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
