xpath,variable_name,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnHeader/BusinessOfficerGrp/DiscussWithPaidPreparerInd,F9_02_DISC_PREP_THIRD_PARTY_X,Indicates whether IRS may discuss return with preparer,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BooleanType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/Officer/AuthorizeThirdParty,F9_02_DISC_PREP_THIRD_PARTY_X,Indicates whether IRS may discuss return with preparer,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BooleanType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/City,F9_02_PREP_FIRM_ADDR_CITY,Foreign Address of Preparer Firm (City),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmUSAddress/City,F9_02_PREP_FIRM_ADDR_CITY,US Address of Preparer Firm (City),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CityType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/City,F9_02_PREP_FIRM_ADDR_CITY,Foreign Address of Preparer Firm (City),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/CityNm,F9_02_PREP_FIRM_ADDR_CITY,Foreign Address of Preparer Firm (City),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/City,F9_02_PREP_FIRM_ADDR_CITY,US Address of Preparer Firm (City),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CityType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/CityNm,F9_02_PREP_FIRM_ADDR_CITY,US Address of Preparer Firm (City),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CityType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/Country,F9_02_PREP_FIRM_ADDR_CNTR,Foreign Address of Preparer Firm (Country),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CountryType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/Country,F9_02_PREP_FIRM_ADDR_CNTR,Foreign Address of Preparer Firm (Country),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CountryType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
