xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/SignificantChange,F9_03_PC_PGMSVCSIGNIFCHG,F9_03_CHANGE_PROG_X,19,Significant changed programs?,[SignificantChange] Part III Line 3,F990-PC-PART-03-LINE-03,F990-PC,F990,PC,PART-03,Line 3,PC,BooleanType,checkbox,ONE,F9-P03-TABLE-00-MISSION,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/SignificantChangeInd,F9_03_PC_PGMSVCSIGNIFCHG,F9_03_CHANGE_PROG_X,19,Significant changed programs?,[SignificantChangeInd] Part III Line 3,F990-PC-PART-03-LINE-03,F990-PC,F990,PC,PART-03,Line 3,PC,BooleanType,checkbox,ONE,F9-P03-TABLE-00-MISSION,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990EZ/PrimaryExemptPurpose,F9_03_PZ_ORGMISS,F9_03_MISSION_DESC,18,Organization mission,[PrimaryExemptPurpose] Part III,F990-EZ-PART-03-LINE-00,F990-EZ,F990,EZ,PART-03,Line 0,PZ,ShortExplanationType,text,ONE,F9-P03-TABLE-00-MISSION,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/MissionDescription,F9_03_PZ_MISSIONDESC,F9_03_MISSION_DESC,18,Organization's Mission/Organization's primary exempt purpose,[MissionDescription] Part III Line 1,F990-PC-PART-03-LINE-01,F990-PC,F990,PC,PART-03,Line 1,PZ,ShortExplanationType,text,ONE,F9-P03-TABLE-00-MISSION,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990EZ/PrimaryExemptPurposeTxt,F9_03_PZ_ORGMISS,F9_03_MISSION_DESC,18,Organization mission,[PrimaryExemptPurposeTxt] Part III,F990-EZ-PART-03-LINE-00,F990-EZ,F990,EZ,PART-03,Line 0,PZ,ShortExplanationType,text,ONE,F9-P03-TABLE-00-MISSION,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/MissionDesc,F9_03_PZ_MISSIONDESC,F9_03_MISSION_DESC,18,Organization's Mission/Organization's primary exempt purpose,[MissionDesc] Part III Line 1,F990-PC-PART-03-LINE-01,F990-PC,F990,PC,PART-03,Line 1,PZ,ShortExplanationType,text,ONE,F9-P03-TABLE-00-MISSION,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/SignificantNewProgramServices,F9_03_PC_PGMSVCSIGNIFNEW,F9_03_NEW_PROG_X,16,Significant new programs?,[SignificantNewProgramServices] Part III Line 2,F990-PC-PART-03-LINE-02,F990-PC,F990,PC,PART-03,Line 2,PZ,BooleanType,checkbox,ONE,F9-P03-TABLE-00-MISSION,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/SignificantNewProgramSrvcInd,F9_03_PC_PGMSVCSIGNIFNEW,F9_03_NEW_PROG_X,16,Significant new programs?,[SignificantNewProgramSrvcInd] Part III Line 2,F990-PC-PART-03-LINE-02,F990-PC,F990,PC,PART-03,Line 2,PZ,BooleanType,checkbox,ONE,F9-P03-TABLE-00-MISSION,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990EZ/ActivitiesNotPreviouslyRptInd,,F9_03_NEW_PROG_X,16,,,F990-EZ-PART-05-LINE-33,F990-EZ,F990,EZ,PART-05,Line 33,PZ,,checkbox,ONE,F9-P03-TABLE-00-MISSION,,2013v3.1,,,,,
/Return/ReturnData/IRS990/Activity2/ActivityCode,F9_03_PC_ACTIACTICODE2,F9_03_PROG_CODE,15,Activity2 - Activity code,[Activity2] Part III Line 4b; [ActivityCode] Part III,F990-PC-PART-03-LINE-04-ABCD,F990-PC,F990,PC,PART-03,Line 4a-d,PC,IntegerNNType,numeric,MANY,F9-P03-TABLE-01-PROGRAMS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
