xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressForeign/AddressLine1,F9_07_PZ_HCICFORADDRLN1,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 1,[CompOfHghstPaidCntrctProfSer] Part VI Line 51; [AddressForeign] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/AddressLine1,F9_07_PZ_HCICFORADDRLN1,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 1,[ContractorCompensation] Part VII Section B; [AddressForeign] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine1,F9_07_PZ_HCICFORADDRLN1,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 1,[ContractorCompensationGrp] Part VII Section B; [ForeignAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine1Txt,F9_07_PZ_HCICFORADDRLN1,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 1,[ContractorCompensationGrp] Part VII Section B; [ForeignAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/AddressOfContractor/AddressForeign/AddressLine1,F9_07_PC_CCAOCAFALINE1,F9_07_CONTXRS_ADDR_FRGN,23,Address Foreign - AddressLine1,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/AddressLine2,F9_07_PC_HCICFORADDRLN2,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 2,[ContractorCompensation] Part VII Section B; [AddressForeign] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine2,F9_07_PC_HCICFORADDRLN2,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 2,[ContractorCompensationGrp] Part VII Section B; [ForeignAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine2Txt,F9_07_PC_HCICFORADDRLN2,F9_07_CONTXRS_ADDR_FRGN,23,Highest compensated independent contractor (top 5 above 100K) foreign address line 2,[ContractorCompensationGrp] Part VII Section B; [ForeignAddress] Part VII Section B Line 1(A),F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIISectionB/ContractorCompensation/AddressOfContractor/AddressForeign/AddressLine2,F9_07_PC_CCAOCAFALINE2,F9_07_CONTXRS_ADDR_FRGN,23,Address Foreign - AddressLine2,,F990-PC-PART-07-SECTION-B-LINE-01-COL-A,F990,PC,PART-07,Section B Line 01 Column (A),PZ,,text,MANY,F9-P07-T02-CONTRACTORS,,,,,,,
/Return/ReturnData/IRS990EZ/CompensationOfHghstPdCntrctGrp/USAddress/AddressLine1,F9_07_PZ_HCICUSADDRLN1,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 1,[CompensationOfHghstPdCntrctGrp] Part VI Line 51; [USAddress] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressUS/AddressLine1,F9_07_PZ_HCICUSADDRLN1,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 1,[CompOfHghstPaidCntrctProfSer] Part VI Line 51; [AddressUS] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990EZ/CompensationOfHghstPdCntrctGrp/USAddress/AddressLine1Txt,F9_07_PZ_HCICUSADDRLN1,F9_07_CONTXRS_ADDR_US,21,Highest compensated independent contractor (top 5 above 100K) US address line 1,[CompensationOfHghstPdCntrctGrp] Part VI Line 51; [USAddress] Part VI Line 51 Column (a),F990-EZ-PART-06-LINE-51-COL-A,F990,EZ,PART-07,Line 51 Column (A),PZ,StreetAddressType,text,MANY,F9-P07-T02-CONTRACTORS,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
