xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,scope,part,line_number,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/InvestmentExpenseAmt,F9_11_PC_INVESTEXP,F9_11_NETASSETS_INVEST_EXP,26,Investment expenses,[InvestmentExpenseAmt] Part XI Line 7,F990-PC-PART-11-LINE-07,F990-PC,PC,PART-11,Line 07,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/ReconcilationInvestExpenses,F9_11_PC_INVESTEXP,F9_11_NETASSETS_INVEST_EXP,26,Investment expenses,[ReconcilationInvestExpenses] Part XI Line 7,F990-PC-PART-11-LINE-07,F990-PC,PC,PART-11,Line 07,,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ReconciliationUnrealizedInvest,F9_11_PC_NETUNRLZDGAINS,F9_11_NETASSETS_GAIN_INVEST_NET,31,Net unrealized gains (losses) on investments,[ReconciliationUnrealizedInvest] Part XI Line 5,F990-PC-PART-11-LINE-05,F990-PC,PC,PART-11,Line 05,,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/NetUnrlzdGainsLossesInvstAmt,F9_11_PC_NEUNGALOINNV,F9_11_NETASSETS_GAIN_INVEST_NET,31,Net unrealized gains (losses) on investments,[NetUnrlzdGainsLossesInvstAmt] Part XI Line 5,F990-PC-PART-11-LINE-05,F990-PC,PC,PART-11,Line 05,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990EZ/OtherChangesInNetAssetsAmt,F9_11_PZ_OTCHINNEASSS,F9_11_NETASSETS_OTH_CHANGE_NAFB,31,Other changes in net assets or fund balances,[OtherChangesInNetAssetsAmt] Part I Line 20,F990-EZ-PART-01-LINE-20,F990-EZ,PZ,PART-11,Line 20,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/ReconcilationOtherChanges,F9_11_PC_CHANGESNETASST,F9_11_NETASSETS_OTH_CHANGE_NAFB,31,Other changes net assets,[ReconcilationOtherChanges] Part XI Line 9,F990-PC-PART-11-LINE-09,F990-PC,PZ,PART-11,Line 09,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990/OtherChangesInNetAssetsAmt,F9_11_PZ_OTCHINNEASSS,F9_11_NETASSETS_OTH_CHANGE_NAFB,31,Other changes in net assets or fund balances,[OtherChangesInNetAssetsAmt] Part XI Line 9,F990-PC-PART-11-LINE-09,F990-PC,PZ,PART-11,Line 09,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/PriorPeriodAdjustmentsAmt,F9_11_PC_PRIOPERIADJU,F9_11_NETASSETS_PP_ADJ,22,Prior period adjustments,[PriorPeriodAdjustmentsAmt] Part XI Line 8,F990-PC-PART-11-LINE-08,F990-PC,PC,PART-11,Line 08,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/ReconcilationPriorAdjustment,F9_11_PC_PRIORPRDADJ,F9_11_NETASSETS_PP_ADJ,22,Prior period adjustments,[ReconcilationPriorAdjustment] Part XI Line 8,F990-PC-PART-11-LINE-08,F990-PC,PC,PART-11,Line 08,,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ReconcilationRevenueExpenses,F9_11_PC_REVLESSEXP,F9_11_NETASSETS_REV_LESS_EXP,28,Revenue less expenses,[ReconcilationRevenueExpenses] Part XI Line 3,F990-PC-PART-11-LINE-03,F990-PC,PC,PART-11,Line 03,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ReconcilationRevenueExpnssAmt,F9_11_PC_REVLESSEXP,F9_11_NETASSETS_REV_LESS_EXP,28,Revenue less expenses,[ReconcilationRevenueExpnssAmt] Part XI Line 3,F990-PC-PART-11-LINE-03,F990-PC,PC,PART-11,Line 03,USAmountType,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/InfoInScheduleOPartXI,F9_11_PC_SCHEDORESP,F9_11_NETASSETS_SCHED_O_X,25,Schedule O contains a response to a question in Part XI,[InfoInScheduleOPartXI] Part XI,F990-PC-PART-11-LINE-00,F990-PC,PC,PART-11,Line 00,CheckboxType,checkbox,ONE,F9-P11-T00-ASSETS,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/InfoInScheduleOPartXIInd,F9_11_PC_SCHEDORESP,F9_11_NETASSETS_SCHED_O_X,25,Schedule O contains a response to a question in Part XI,[InfoInScheduleOPartXIInd] Part XI,F990-PC-PART-11-LINE-00,F990-PC,PC,PART-11,Line 00,CheckboxType,checkbox,ONE,F9-P11-T00-ASSETS,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/ReconcilationDonatedServices,F9_11_PC_DONATEDSERVICES,F9_11_NETASSETS_SVC_DON,23,Donated services and use of facilities,[ReconcilationDonatedServices] Part XI Line 6,F990-PC-PART-11-LINE-06,F990-PC,PC,PART-11,Line 06,,numeric,ONE,F9-P11-T00-ASSETS,FALSE,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
