xpath,variable_name_old ,variable_name_new,len(),description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table ,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleA/RelationshipSchedule/NameOfOrganization/BusinessNameLine1,SA_00_PZ_RSNOOBNLINE11,SA_00_NAME_ORG_L1,17,Name Of Organization - BusinessNameLine1,,SCHED-A-PART-00,SCHED-A,SZ,PART-00,Line 00,HD,,text,ONE,SA-P00-T00-HEADER,,,,,T,,
/Return/ReturnData/IRS990ScheduleA/Church170b1Ai,SA_01_PZ_CHURCHAII,SA_01_PCSTAT_CHURCH_X,21,A church; convention of churches; or association of churches. Section 170(b)(1)(A)(i),[Church170b1Ai] Part I Line 1,SCHED-A-PART-01-LINE-01,SCHED-A,SZ,PART-01,Line 01,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/Church170b1Ai,SA_01_PZ_CHURCHAII,SA_01_PCSTAT_CHURCH_X,21,A church; convention of churches; or association of churches. Section 170(b)(1)(A)(i),,SCHED-A-PART-01-LINE-01,SCHED-A,SZ,PART-01,Line 01,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/ChurchInd,SA_01_PZ_CHURCHHURCH,SA_01_PCSTAT_CHURCH_X,21,A church; convention of churches; or association of churches. Section 170(b)(1)(A)(i),[ChurchInd] Part I Line 1,SCHED-A-PART-01-LINE-01,SCHED-A,SZ,PART-01,Line 01,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/School170b1Aii,SA_01_PZ_SCHOOLAIIII,SA_01_PCSTAT_SCHOOL_X,21,A school. Section 170(b)(1)(A)(ii),,SCHED-A-PART-01-LINE-02,SCHED-A,SZ,PART-01,Line 02,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/School170b1Aii,SA_01_PZ_SCHOOLAIIII,SA_01_PCSTAT_SCHOOL_X,21,A school. Section 170(b)(1)(A)(ii),[School170b1Aii] Part I Line 2,SCHED-A-PART-01-LINE-02,SCHED-A,SZ,PART-01,Line 02,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/SchoolInd,SA_01_PZ_SCHOOLCHOOL,SA_01_PCSTAT_SCHOOL_X,21,A school. Section 170(b)(1)(A)(ii),[SchoolInd] Part I Line 2,SCHED-A-PART-01-LINE-02,SCHED-A,SZ,PART-01,Line 02,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/Hospital170b1Aiii,SA_01_PZ_HOSPITAIIIII,SA_01_PCSTAT_HOSPITAL_X,23,A hospital or a cooperative hospital service organization. Section 170(b)(1)(A)(iii),,SCHED-A-PART-01-LINE-03,SCHED-A,SZ,PART-01,Line 03,PZ,,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/Hospital170b1Aiii,SA_01_PZ_HOSPITAIIIII,SA_01_PCSTAT_HOSPITAL_X,23,A hospital or a cooperative hospital service organization. Section 170(b)(1)(A)(iii),[Hospital170b1Aiii] Part I Line 3,SCHED-A-PART-01-LINE-03,SCHED-A,SZ,PART-01,Line 03,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalInd,SA_01_PZ_HOSPITALOSPI,SA_01_PCSTAT_HOSPITAL_X,23,A hospital or a cooperative hospital service organization. Section 170(b)(1)(A)(iii),[HospitalInd] Part I Line 3,SCHED-A-PART-01-LINE-03,SCHED-A,SZ,PART-01,Line 03,PZ,CheckboxType,checkbox,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/Address/City,SA_04_PZ_HONAADADCIIT,SA_01_PCSTAT_HOSPITAL_ADDR_CITY,31,Address - Address - US,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/HospitalNameAndAddress/City,SA_01_PZ_HONAANADCIIT,SA_01_PCSTAT_HOSPITAL_ADDR_CITY,31,US address or foreign address,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/City,SA_01_PZ_HOSNAMADDCIT,SA_01_PCSTAT_HOSPITAL_ADDR_CITY,31,US address or foreign address,[HospitalNameAndAddress] Part I Line 4; [City] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,CityType,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/CityNm,SA_01_PZ_HOSNAMADDCIT,SA_01_PCSTAT_HOSPITAL_ADDR_CITY,31,US city or foreign city,[HospitalNameAndAddressGrp] Part I Line 4; [CityNm] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,CityType,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/Country,SA_01_PZ_HOSNAMADDCOU,SA_01_PCSTAT_HOSPITAL_ADDR_CNTR,31,Foreign address Country,[HospitalNameAndAddress] Part I Line 4; [Country] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,CountryType,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddressGrp/CountryCd,SA_01_PZ_HOSNAMADDCOU,SA_01_PCSTAT_HOSPITAL_ADDR_CNTR,31,Foreign address Country,[HospitalNameAndAddressGrp] Part I Line 4; [CountryCd] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,CountryType,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/Address/Country,SA_04_PZ_HONAADADCOOU,SA_01_PCSTAT_HOSPITAL_ADDR_CNTR,31,Foreign country name,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/Address/State,SA_04_PZ_HONAADADSTTA,SA_01_PCSTAT_HOSPITAL_ADDR_STATE,32,Address - US state name,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,T,,
/Return/ReturnData/IRS990ScheduleA/Form990ScheduleAPartI/HospitalNameAndAddress/State,SA_01_PZ_HONAANADSTTA,SA_01_PCSTAT_HOSPITAL_ADDR_STATE,32,US address or foreign address,,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,,,,,,
/Return/ReturnData/IRS990ScheduleA/HospitalNameAndAddress/State,SA_01_PZ_HOSNAMADDSTA,SA_01_PCSTAT_HOSPITAL_ADDR_STATE,32,US address or foreign address,[HospitalNameAndAddress] Part I Line 4; [State] Part I Line 4,SCHED-A-PART-01-LINE-04,SCHED-A,SZ,PART-01,Line 04,PZ,StateType,text,ONE,SA-P01-T00-PUBLIC-CHARITY-STATUS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
