xpath,variable_name ,description,location_code_xsd,location_code,form,form_part,form_line_number,scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table ,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/PoliticalExpenditures,SC_01_POLITI_EXPEND,Political expenditures,[PoliticalExpenditures] Part I-A Line 2,SCHED-C-PART-01-A-LINE-2,SCHED-C,PART-01-A,Line 2,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/PoliticalExpenditures,SC_01_POLITI_EXPEND,Political expenditures,[PoliticalExpenditures] Part I-A Line 2,SCHED-C-PART-01-A-LINE-2,SCHED-C,PART-01-A,Line 2,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/PoliticalExpendituresAmt,SC_01_POLITI_EXPEND,Political expenditures,[PoliticalExpendituresAmt] Part I-A Line 2,SCHED-C-PART-01-A-LINE-2,SCHED-C,PART-01-A,Line 2,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/VolunteerHours,SC_01_VOLUNTEER_HOURS,Volunteer hours,[VolunteerHours] Part I-A Line 3,SCHED-C-PART-01-A-LINE-3,SCHED-C,PART-01-A,Line 3,PZ,IntegerNNType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/VolunteerHoursCnt,SC_01_VOLUNTEER_HOURS,Volunteer hours,[VolunteerHoursCnt] Part I-A Line 3,SCHED-C-PART-01-A-LINE-3,SCHED-C,PART-01-A,Line 3,PZ,IntegerNNType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/VolunteerHours,SC_01_VOLUNTEER_HOURS,Volunteer hours,[VolunteerHoursCnt] Part I-A Line 3,SCHED-C-PART-01-A-LINE-3,SCHED-C,PART-01-A,Line 3,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/AmtOf4955Tax,SC_01_EXCISE_TAX_4955_ORG,Enter the amount of any excise tax incurred under section 4955,[AmtOf4955Tax] Part I-B Line 1,SCHED-C-PART-01-B-LINE-1,SCHED-C,PART-01-B,Line 1,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleC/Section4955OrganizationTaxAmt,SC_01_EXCISE_TAX_4955_ORG,Enter the amount of any excise tax incurred under section 4955,[Section4955OrganizationTaxAmt] Part I-B Line 1,SCHED-C-PART-01-B-LINE-1,SCHED-C,PART-01-B,Line 1,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleC/Form990ScheduleCPartI/AmtOf4955Tax,SC_01_EXCISE_TAX_4955_ORG,Enter the amount of any excise tax incurred under section 4955,,SCHED-C-PART-01-B-LINE-1,SCHED-C,PART-01-B,Line 1,PZ,,numeric,one to one ,SC-TABLE-00-LOBBY,,,,,,
/Return/ReturnData/IRS990ScheduleC/AmtOf4955TaxOnManagers,SC_01_EXCISE_TAX_4955_MGR,Enter the amount of any excise tax incurred by organization managers under section 4955,[AmtOf4955TaxOnManagers] Part I-B Line 2,SCHED-C-PART-01-B-LINE-2,SCHED-C,PART-01-B,Line 2,PZ,USAmountType,numeric,one to one ,SC-TABLE-00-LOBBY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
