xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,scope,part,line_number,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/AccountsReceivable/BOY,F9_10_PC_ACCTSRECEIVEBOY,F9_10_ASSETS_ACC_NET_BOY,24,"Net accounts receivable, beginning of year",[AccountsReceivable] Part X Line 4; [BOY] Part X Column (A),F990-PC-PART-10-LINE-04-BOY,F990-PC,PC,PART-10,Line 04 BOY,USAmountType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/AccountsReceivableGrp/BOYAmt,F9_10_PC_ACCTSRECEIVEBOY,F9_10_ASSETS_ACC_NET_BOY,24,"Net accounts receivable, beginning of year",[AccountsReceivableGrp] Part X Line 4; [BOYAmt] Part X Column (A),F990-PC-PART-10-LINE-04-BOY,F990-PC,PC,PART-10,Line 04 BOY,USAmountType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartX/AccountsReceivable/BOY,F9_10_PC_ACREBOOYY,F9_10_ASSETS_ACC_NET_BOY,24,Beginnning of year,,F990-PC-PART-10-LINE-04-BOY,F990-PC,PC,PART-10,Line 04 BOY,,numeric,ONE,F9-P10-T00-BALANCE-SHEET,,,,,,,
/Return/ReturnData/IRS990/AccountsReceivable/EOY,F9_10_PC_ACCTSRECEIVEEOY,F9_10_ASSETS_ACC_NET_EOY,24,"Net accounts receivable, end of year",[AccountsReceivable] Part X Line 4; [EOY] Part X Column (B),F990-PC-PART-10-LINE-04-EOY,F990-PC,PC,PART-10,Line 04 EOY,USAmountType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/AccountsReceivableGrp/EOYAmt,F9_10_PC_ACCTSRECEIVEEOY,F9_10_ASSETS_ACC_NET_EOY,24,"Net accounts receivable, end of year",[AccountsReceivableGrp] Part X Line 4; [EOYAmt] Part X Column (B),F990-PC-PART-10-LINE-04-EOY,F990-PC,PC,PART-10,Line 04 EOY,USAmountType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartX/AccountsReceivable/EOY,F9_10_PC_ACREEOOYY,F9_10_ASSETS_ACC_NET_EOY,24,Ending of year,,F990-PC-PART-10-LINE-04-EOY,F990-PC,PC,PART-10,Line 04 EOY,,numeric,ONE,F9-P10-T00-BALANCE-SHEET,,,,,,,
/Return/ReturnData/IRS990/CashNonInterestBearing/BOY,F9_10_PC_CASHNOINTRESTBOY,F9_10_ASSETS_CASH_BOY,21,"Cash, non-interest-bearing, beginning of year",[CashNonInterestBearing] Part X Line 1; [BOY] Part X Column (A),F990-PC-PART-10-LINE-01-BOY,F990-PC,PC,PART-10,Line 01 BOY,USAmountNNType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/CashNonInterestBearingGrp/BOYAmt,F9_10_PC_CASHNOINTRESTBOY,F9_10_ASSETS_CASH_BOY,21,"Cash, non-interest-bearing, beginning of year",[CashNonInterestBearingGrp] Part X Line 1; [BOYAmt] Part X Column (A),F990-PC-PART-10-LINE-01-BOY,F990-PC,PC,PART-10,Line 01 BOY,USAmountType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartX/CashNonInterestBearing/BOY,F9_10_PC_CNIBBOY,F9_10_ASSETS_CASH_BOY,21,Beginnning of year,,F990-PC-PART-10-LINE-01-BOY,F990-PC,PC,PART-10,Line 01 BOY,,numeric,ONE,F9-P10-T00-BALANCE-SHEET,,,,,,,
/Return/ReturnData/IRS990/CashNonInterestBearing/EOY,F9_10_PC_CASHNOINTRESTEOY,F9_10_ASSETS_CASH_EOY,21,"Cash, non-interest-bearing, end of year",[CashNonInterestBearing] Part X Line 1; [EOY] Part X Column (B),F990-PC-PART-10-LINE-01-EOY,F990-PC,PC,PART-10,Line 01 EOY,USAmountType,numeric,ONE,F9-P10-T00-BALANCE-SHEET,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
