xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleD/DonorAdvisedFundsHeldCnt,SD_01_TOT_NUM_EOY_DAF,Enter the total number of donor advised funds maintained at the end of the tax year,[DonorAdvisedFundsHeldCnt] Part I Line 1 Column (a),SCHED-D-PART-01-LINE-01-COL-A,SCHED-D,SZ,PART-01,Line 01 Column (A),PC,IntegerNNType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleD/Form990ScheduleDPartI/NumberDAFsHeld,SD_01_TOT_NUM_EOY_DAF,Enter the total number of donor advised funds maintained at the end of the tax year,,SCHED-D-PART-01-LINE-01-COL-A,SCHED-D,SZ,PART-01,Line 01 Column (A),PC,,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,,,,,,
/Return/ReturnData/IRS990ScheduleD/NumberDAFsHeld,SD_01_TOT_NUM_EOY_DAF,Enter the total number of donor advised funds maintained at the end of the tax year,[NumberDAFsHeld] Part I Line 1 Column (a),SCHED-D-PART-01-LINE-01-COL-A,SCHED-D,SZ,PART-01,Line 01 Column (A),PC,IntegerNNType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleD/Form990ScheduleDPartI/NumberFundsHeld,SD_01_TOT_NUM_EOY_OTH,Enter the total number of separate accounts for participating donors where donors have the right to provide advice on the use or distribution of funds owned at the end of the tax year,,SCHED-D-PART-01-LINE-01-COL-B,SCHED-D,SZ,PART-01,Line 01 Column (B),PC,,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,,,,,,
/Return/ReturnData/IRS990ScheduleD/FundsAndOtherAccountsHeldCnt,SD_01_TOT_NUM_EOY_OTH,Enter the total number of separate accounts for participating donors where donors have the right to provide advice on the use or distribution of funds owned at the end of the tax year,[FundsAndOtherAccountsHeldCnt] Part I Line 1 Column (b),SCHED-D-PART-01-LINE-01-COL-B,SCHED-D,SZ,PART-01,Line 01 Column (B),PC,IntegerNNType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleD/NumberFundsHeld,SD_01_TOT_NUM_EOY_OTH,Enter the total number of separate accounts for participating donors where donors have the right to provide advice on the use or distribution of funds owned at the end of the tax year,[NumberFundsHeld] Part I Line 1 Column (b),SCHED-D-PART-01-LINE-01-COL-B,SCHED-D,SZ,PART-01,Line 01 Column (B),PC,IntegerNNType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleD/DonorAdvisedContributions,SD_01_AGGREGATE_CONTR_DAF,Contributions; gifts; grants; and similar amounts received: donor advised funds,[DonorAdvisedContributions] Part I Line 2 Column (a),SCHED-D-PART-01-LINE-02-COL-A,SCHED-D,SZ,PART-01,Line 02 Column (A),PC,USAmountType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleD/DonorAdvisedFundsContriAmt,SD_01_AGGREGATE_CONTR_DAF,Contributions; gifts; grants; and similar amounts received: donor advised funds,[DonorAdvisedFundsContriAmt] Part I Line 2 Column (a),SCHED-D-PART-01-LINE-02-COL-A,SCHED-D,SZ,PART-01,Line 02 Column (A),PC,USAmountType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleD/Form990ScheduleDPartI/DonorAdvisedContributions,SD_01_AGGREGATE_CONTR_DAF,Contributions; gifts; grants; and similar amounts received: donor advised funds,,SCHED-D-PART-01-LINE-02-COL-A,SCHED-D,SZ,PART-01,Line 02 Column (A),PC,,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,,,,,,
/Return/ReturnData/IRS990ScheduleD/ContribToFundsAndOtherAccounts,SD_01_AGGREGATE_CONTR_OTH,Contributions; gifts; grants; and similar amounts received: funds and other accounts,[ContribToFundsAndOtherAccounts] Part I Line 2 Column (b),SCHED-D-PART-01-LINE-02-COL-B,SCHED-D,SZ,PART-01,Line 02 Column (B),PC,USAmountType,numeric,ONE,SD-P01-T00-ORGS-DONOR-ADVISED-FUNDS-OTH,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
