xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleE/Form990ScheduleE/NondiscriminatoryPolicyStmt,SE_01_POLICY_STMT_NONDISCR_X,Does the organization have a racially nondiscriminatory policy statement?,,SCHED-E-PART-01-LINE-01,SCHED-E,SZ,PART-01,Line 01,PZ,,checkbox,ONE,SE-P01-T00-SCHOOLS,,,,,,,
/Return/ReturnData/IRS990ScheduleE/NondiscriminatoryPolicyStmt,SE_01_POLICY_STMT_NONDISCR_X,Does the organization have a racially nondiscriminatory policy statement?,[NondiscriminatoryPolicyStmt] Line 1,SCHED-E-PART-01-LINE-01,SCHED-E,SZ,PART-01,Line 01,PZ,BooleanType,checkbox,ONE,SE-P01-T00-SCHOOLS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleE/NondiscriminatoryPolicyStmtInd,SE_01_POLICY_STMT_NONDISCR_X,Does the organization have a racially nondiscriminatory policy statement?,[NondiscriminatoryPolicyStmtInd] Line 1,SCHED-E-PART-01-LINE-01,SCHED-E,SZ,PART-01,Line 01,PZ,BooleanType,checkbox,ONE,SE-P01-T00-SCHOOLS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleE/Form990ScheduleE/PolicyStatementInBrochuresEtc,SE_01_POLICY_STMT_BROCHURES_X,Does the organization have policy statement in brochures; etc?,,SCHED-E-PART-01-LINE-02,SCHED-E,SZ,PART-01,Line 02,PZ,,checkbox,ONE,SE-P01-T00-SCHOOLS,,,,,,,
/Return/ReturnData/IRS990ScheduleE/PolicyStatementInBrochuresEtc,SE_01_POLICY_STMT_BROCHURES_X,Does the organization have policy statement in brochures; etc?,[PolicyStatementInBrochuresEtc] Line 2,SCHED-E-PART-01-LINE-02,SCHED-E,SZ,PART-01,Line 02,PZ,BooleanType,checkbox,ONE,SE-P01-T00-SCHOOLS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleE/PolicyStmtInBrochuresEtcInd,SE_01_POLICY_STMT_BROCHURES_X,Does the organization have policy statement in brochures; etc?,[PolicyStmtInBrochuresEtcInd] Line 2,SCHED-E-PART-01-LINE-02,SCHED-E,SZ,PART-01,Line 02,PZ,BooleanType,checkbox,ONE,SE-P01-T00-SCHOOLS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleE/Form990ScheduleE/PolicyPublViaBroadcastMedia,SE_01_POLICY_BCAST_MEDIA_X,Has the organization publicized the policy through broadcast media?,,SCHED-E-PART-01-LINE-03,SCHED-E,SZ,PART-01,Line 03,PZ,,checkbox,ONE,SE-P01-T00-SCHOOLS,,,,,,,
/Return/ReturnData/IRS990ScheduleE/PlcyPblczdViaBroadcastMediaInd,SE_01_POLICY_BCAST_MEDIA_X,Has the organization publicized the policy through broadcast media?,[PlcyPblczdViaBroadcastMediaInd] Line 3,SCHED-E-PART-01-LINE-03,SCHED-E,SZ,PART-01,Line 03,PZ,BooleanType,checkbox,ONE,SE-P01-T00-SCHOOLS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleE/PolicyPublViaBroadcastMedia,SE_01_POLICY_BCAST_MEDIA_X,Has the organization publicized the policy through broadcast media?,[PolicyPublViaBroadcastMedia] Line 3,SCHED-E-PART-01-LINE-03,SCHED-E,SZ,PART-01,Line 03,PZ,BooleanType,checkbox,ONE,SE-P01-T00-SCHOOLS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleE/Form990ScheduleE/PubViaBroadcastMediaExpln,SE_01_POLICY_BCAST_MEDIA_EXPLAIN,"If answered ""Has the Organization Publicized the Policy through Broadcast Media?""; explain",,SCHED-E-PART-01-LINE-03,SCHED-E,SZ,PART-01,Line 03,PZ,,text,ONE,SE-P01-T00-SCHOOLS,,,,,,,
