xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleH/CharityCarePolicy,SH_01_FAP_X,Charity care policy?,[CharityCarePolicy] Part I Line 1a,SCHED-H-PART-01-LINE-01A,SCHED-H,SZ,PART-01,Line 01a,PC,BooleanType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleH/CharityCarePolicyInd,SH_01_FAP_X,Charity care policy?,,SCHED-H-PART-01-LINE-01A,SCHED-H,SZ,PART-01,Line 01a,PC,,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,,,,,,
/Return/ReturnData/IRS990ScheduleH/Form990ScheduleHPartI/CharityCarePolicy,SH_01_FAP_X,Charity care policy?,,SCHED-H-PART-01-LINE-01A,SCHED-H,SZ,PART-01,Line 01a,PC,,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,,,,,,
/Return/ReturnData/IRS990ScheduleH/FinancialAssistancePolicyInd,SH_01_FAP_X,Financial assistance policy?,[FinancialAssistancePolicyInd] Part I Line 1a,SCHED-H-PART-01-LINE-01A,SCHED-H,SZ,PART-01,Line 01a,PC,BooleanType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleH/WrittenPolicyInd,SH_01_FAP_WRITTEN_X,Written policy?,[WrittenPolicyInd] Part I Line 1b,SCHED-H-PART-01-LINE-01B,SCHED-H,SZ,PART-01,Line 01b,PC,BooleanType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleH/WrittenPolicy,SH_01_FAP_WRITTEN_X,Written policy?,[WrittenPolicy] Part I Line 1b,SCHED-H-PART-01-LINE-01B,SCHED-H,SZ,PART-01,Line 01b,PC,BooleanType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleH/Form990ScheduleHPartI/WrittenPolicy,SH_01_FAP_WRITTEN_X,Written policy?,,SCHED-H-PART-01-LINE-01B,SCHED-H,SZ,PART-01,Line 01b,PC,,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,,,,,,
/Return/ReturnData/IRS990ScheduleH/AllHospitalsPolicyInd,SH_01_FAP_ALL_HOSPITAL_X,Policy applied to all hospitals,[AllHospitalsPolicyInd] Part I Line 2,SCHED-H-PART-01-LINE-02,SCHED-H,SZ,PART-01,Line 02,PC,CheckboxType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleH/PolicyAppliedToAllHospitals,SH_01_FAP_ALL_HOSPITAL_X,Policy applied to all hospitals,[PolicyAppliedToAllHospitals] Part I Line 2,SCHED-H-PART-01-LINE-02,SCHED-H,SZ,PART-01,Line 02,PC,CheckboxType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleH/Form990ScheduleHPartI/PolicyAppliedToAllHospitals,SH_01_FAP_ALL_HOSPITAL_X,Policy applied to all hospitals,,SCHED-H-PART-01-LINE-02,SCHED-H,SZ,PART-01,Line 02,PC,,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,,,,,,
/Return/ReturnData/IRS990ScheduleH/IndivHospitalTailoredPolicyInd,SH_01_FAP_INDIV_HOSPITAL_X,Policy tailored to individual hospitals,[IndivHospitalTailoredPolicyInd] Part I Line 2,SCHED-H-PART-01-LINE-02,SCHED-H,SZ,PART-01,Line 02,PC,CheckboxType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleH/PolicyTailoredToIndHospitals,SH_01_FAP_INDIV_HOSPITAL_X,Policy tailored to individual hospitals,FINANCIAL-ASSISTANT-POLICY,SCHED-H-PART-01-LINE-02,SCHED-H,SZ,PART-01,Line 02,PC,CheckboxType,checkbox,ONE ,SH-P01-T00-FAP-COMMUNITY-BENEFIT-POLICY,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
