xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartI/RecordsMaintained,SI_01_GRANT_RECORD_MAINT_X,Does the organization maintain records to substantiate the amount of the grants or assistance; the grantees' eligibility for the grants or assistance; and the selection criteria used to award the grants or assistance?,,SCHED-I-PART-01-LINE-01,SCHED-I,SZ,PART-01,Line 01,PC,,checkbox,ONE,SI-P01-T00-GRANTS-INFO,,,,,,,
/Return/ReturnData/IRS990ScheduleI/GrantRecordsMaintainedInd,SI_01_GRANT_RECORD_MAINT_X,Does the organization maintain records to substantiate the amount of the grants or assistance; the grantees' eligibility for the grants or assistance; and the selection criteria used to award the grants or assistance?,[GrantRecordsMaintainedInd] Part I Line 1,SCHED-I-PART-01-LINE-01,SCHED-I,SZ,PART-01,Line 01,PC,BooleanType,checkbox,ONE,SI-P01-T00-GRANTS-INFO,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecordsMaintained,SI_01_GRANT_RECORD_MAINT_X,Does the organization maintain records to substantiate the amount of the grants or assistance; the grantees' eligibility for the grants or assistance; and the selection criteria used to award the grants or assistance?,[RecordsMaintained] Part I Line 1,SCHED-I-PART-01-LINE-01,SCHED-I,SZ,PART-01,Line 01,PC,BooleanType,checkbox,ONE,SI-P01-T00-GRANTS-INFO,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressForeign/City,SI_02_GRANT_US_ORG_ADDR_CITY,Address Foreign - City,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressForeign/City,SI_02_GRANT_US_ORG_ADDR_CITY,Address Foreign - City,[RecipientTable] Part II; [AddressForeign] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,TextType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressUS/City,SI_02_GRANT_US_ORG_ADDR_CITY,Address US - City,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressUS/City,SI_02_GRANT_US_ORG_ADDR_CITY,Address US - City,[RecipientTable] Part II; [AddressUS] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,CityType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/City,SI_02_GRANT_US_ORG_ADDR_CITY,Foreign Address - City,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,TextType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/CityNm,SI_02_GRANT_US_ORG_ADDR_CITY,Foreign Address - City,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,TextType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/City,SI_02_GRANT_US_ORG_ADDR_CITY,USAddress - City,[RecipientTable] Part II; [USAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,CityType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/CityNm,SI_02_GRANT_US_ORG_ADDR_CITY,USAddress - CityNm,[RecipientTable] Part II; [USAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,CityType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressForeign/Country,SI_02_GRANT_US_ORG_ADDR_CNTR,Address Foreign - Country,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressForeign/Country,SI_02_GRANT_US_ORG_ADDR_CNTR,Address Foreign - Country,[RecipientTable] Part II; [AddressForeign] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,CountryType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/Country,SI_02_GRANT_US_ORG_ADDR_CNTR,Foreign Address - Country,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,CountryType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/CountryCd,SI_02_GRANT_US_ORG_ADDR_CNTR,Foreign Address - Country,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,CountryType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressForeign/AddressLine1,SI_02_GRANT_US_ORG_ADDR_L1,Address Foreign - AddressLine1,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressForeign/AddressLine1,SI_02_GRANT_US_ORG_ADDR_L1,Address Foreign - AddressLine1,[RecipientTable] Part II; [AddressForeign] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressUS/AddressLine1,SI_02_GRANT_US_ORG_ADDR_L1,Address US - AddressLine1,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressUS/AddressLine1,SI_02_GRANT_US_ORG_ADDR_L1,Address US - AddressLine1,[RecipientTable] Part II; [AddressUS] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/AddressLine1,SI_02_GRANT_US_ORG_ADDR_L1,Foreign Address - AddressLine1,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/AddressLine1Txt,SI_02_GRANT_US_ORG_ADDR_L1,Foreign Address - AddressLine1Txt,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/AddressLine1,SI_02_GRANT_US_ORG_ADDR_L1,USAddress - AddressLine1,[RecipientTable] Part II; [USAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/AddressLine1Txt,SI_02_GRANT_US_ORG_ADDR_L1,USAddress - AddressLine1Txt,[RecipientTable] Part II; [USAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressForeign/AddressLine2,SI_02_GRANT_US_ORG_ADDR_L2,Address Foreign - AddressLine2,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressForeign/AddressLine2,SI_02_GRANT_US_ORG_ADDR_L2,Address Foreign - AddressLine2,[RecipientTable] Part II; [AddressForeign] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/Form990ScheduleIPartII/RecipientTable/AddressUS/AddressLine2,SI_02_GRANT_US_ORG_ADDR_L2,Address US - AddressLine2,,SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,,,,,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/AddressUS/AddressLine2,SI_02_GRANT_US_ORG_ADDR_L2,Address US - AddressLine2,[RecipientTable] Part II; [AddressUS] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/AddressLine2,SI_02_GRANT_US_ORG_ADDR_L2,Foreign Address - AddressLine2,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/ForeignAddress/AddressLine2Txt,SI_02_GRANT_US_ORG_ADDR_L2,Foreign Address - AddressLine2Txt,[RecipientTable] Part II; [ForeignAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/AddressLine2,SI_02_GRANT_US_ORG_ADDR_L2,USAddress - AddressLine2,[RecipientTable] Part II; [USAddress] Part II Line  1 Column (a),SCHED-I-PART-02-LINE-01-COL-A,SCHED-I,SZ,PART-02,Line  01 Column (A),PC,StreetAddressType,text,MANY,SI-P02-T01-GRANTS-US-ORGS-GOVTS,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
