xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleJ/ClubDuesOrFees,SJ_01_COMP_PROV_CLUB_DUE_FEE_X,Club dues or fees,[ClubDuesOrFees] Part I Line 1a,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,CheckboxType,checkbox,ONE,SJ-P01-T00-COMPENSATION,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,X
/Return/ReturnData/IRS990ScheduleJ/ClubDuesOrFeesInd,SJ_01_COMP_PROV_CLUB_DUE_FEE_X,Club dues or fees,[ClubDuesOrFeesInd] Part I Line 1a,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,CheckboxType,checkbox,ONE,SJ-P01-T00-COMPENSATION,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,X
/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/ClubDuesOrFees,SJ_01_COMP_PROV_CLUB_DUE_FEE_X,Club dues or fees,,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,,checkbox,ONE,SJ-P01-T00-COMPENSATION,,,,,,,X
/Return/ReturnData/IRS990ScheduleJ/DiscretionarySpendingAccount,SJ_01_COMP_PROV_DISCRETIONARY_X,Discretionary spending account,[DiscretionarySpendingAccount] Part I Line 1a,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,CheckboxType,checkbox,ONE,SJ-P01-T00-COMPENSATION,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,X
/Return/ReturnData/IRS990ScheduleJ/DiscretionarySpendingAcctInd,SJ_01_COMP_PROV_DISCRETIONARY_X,Discretionary spending account,[DiscretionarySpendingAcctInd] Part I Line 1a,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,CheckboxType,checkbox,ONE,SJ-P01-T00-COMPENSATION,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,X
/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/DiscretionarySpendingAccount,SJ_01_COMP_PROV_DISCRETIONARY_X,Discretionary spending account,,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,,checkbox,ONE,SJ-P01-T00-COMPENSATION,,,,,,,X
/Return/ReturnData/IRS990ScheduleJ/FirstClassOrCharterTravel,SJ_01_COMP_PROV_FIRST_CLASS_X,First class or charter travel,[FirstClassOrCharterTravel] Part I Line 1a,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,CheckboxType,checkbox,ONE,SJ-P01-T00-COMPENSATION,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,X
/Return/ReturnData/IRS990ScheduleJ/FirstClassOrCharterTravelInd,SJ_01_COMP_PROV_FIRST_CLASS_X,First class or charter travel,[FirstClassOrCharterTravelInd] Part I Line 1a,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,CheckboxType,checkbox,ONE,SJ-P01-T00-COMPENSATION,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,X
/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/FirstClassOrCharterTravel,SJ_01_COMP_PROV_FIRST_CLASS_X,First class or charter travel,,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,,checkbox,ONE,SJ-P01-T00-COMPENSATION,,,,,,,X
/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/HousingAllowanceOrResidence,SJ_01_COMP_PROV_HOUSING_ALLOW_X,Housing allowance or residence,,SCHED-J-PART-01-LINE-01A,SCHED-J,SZ,PART-01,Line 01a,PC,,checkbox,ONE,SJ-P01-T00-COMPENSATION,,,,,,,X
