xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleK/Form990ScheduleKPartI/BondReferenceCd,SK_01_BOND_ISSUE_REFERENCE_NUM,Bond issue reference number (A-D),[Form990ScheduleKPartI] Part I; [BondReferenceCd] Part I,SCHED-K-PART-01,SCHED-K,SZ,PART-01,Part 01,PC,,text,MANY,SK-P01-T01-BOND-ISSUES,,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleK/TaxExemptBondsIssuesGrp/BondReferenceCd,SK_01_BOND_ISSUE_REFERENCE_NUM,Bond issue reference number (A-D),[TaxExemptBondsIssuesGrp] Part I; [BondReferenceCd] Part I,SCHED-K-PART-01,SCHED-K,SZ,PART-01,Part 01,PC,StringType,text,MANY,SK-P01-T01-BOND-ISSUES,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleK/Form990ScheduleKPartI/IssuerName/BusinessNameLine1,SK_01_BOND_ISSUER_NAME_L1,Issuer Name - BusinessNameLine1,[Form990ScheduleKPartI] Part I; [IssuerName] Part I Column (a),SCHED-K-PART-01-COL-A,SCHED-K,SZ,PART-01,Column (A),PC,BusinessNameLine1Type,text,MANY,SK-P01-T01-BOND-ISSUES,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleK/TaxExemptBondsIssuesGrp/IssuerName/BusinessNameLine1,SK_01_BOND_ISSUER_NAME_L1,Issuer Name - BusinessNameLine1,[TaxExemptBondsIssuesGrp] Part I; [IssuerName] Part I Column (a),SCHED-K-PART-01-COL-A,SCHED-K,SZ,PART-01,Column (A),PC,BusinessNameLine1Type,text,MANY,SK-P01-T01-BOND-ISSUES,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleK/TaxExemptBondsIssuesGrp/IssuerName/BusinessNameLine1Txt,SK_01_BOND_ISSUER_NAME_L1,Issuer Name - BusinessNameLine1Txt,[TaxExemptBondsIssuesGrp] Part I; [IssuerName] Part I Column (a),SCHED-K-PART-01-COL-A,SCHED-K,SZ,PART-01,Column (A),PC,BusinessNameLine1Type,text,MANY,SK-P01-T01-BOND-ISSUES,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleK/Form990ScheduleKPartI/IssuerName/BusinessNameLine2,SK_01_BOND_ISSUER_NAME_L2,Issuer Name - BusinessNameLine2,[Form990ScheduleKPartI] Part I; [IssuerName] Part I Column (a),SCHED-K-PART-01-COL-A,SCHED-K,SZ,PART-01,Column (A),PC,BusinessNameLine2Type,text,MANY,SK-P01-T01-BOND-ISSUES,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleK/TaxExemptBondsIssuesGrp/IssuerName/BusinessNameLine2,SK_01_BOND_ISSUER_NAME_L2,Issuer Name - BusinessNameLine2,[TaxExemptBondsIssuesGrp] Part I; [IssuerName] Part I Column (a),SCHED-K-PART-01-COL-A,SCHED-K,SZ,PART-01,Column (A),PC,BusinessNameLine2Type,text,MANY,SK-P01-T01-BOND-ISSUES,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleK/TaxExemptBondsIssuesGrp/IssuerName/BusinessNameLine2Txt,SK_01_BOND_ISSUER_NAME_L2,Issuer Name - BusinessNameLine2Txt,[TaxExemptBondsIssuesGrp] Part I; [IssuerName] Part I Column (a),SCHED-K-PART-01-COL-A,SCHED-K,SZ,PART-01,Column (A),PC,BusinessNameLine2Type,text,MANY,SK-P01-T01-BOND-ISSUES,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleK/Form990ScheduleKPartI/IssuerEIN,SK_01_BOND_ISSUER_EIN,Form990 Schedule KPart I - Issuer EIN,[Form990ScheduleKPartI] Part I; [IssuerEIN] Part I Column (b),SCHED-K-PART-01-COL-B,SCHED-K,SZ,PART-01,Column (B),PC,EINType,numeric,MANY,SK-P01-T01-BOND-ISSUES,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleK/TaxExemptBondsIssuesGrp/BondIssuerEIN,SK_01_BOND_ISSUER_EIN,Tax Exempt Bonds Issues Grp - Issuer EIN,[TaxExemptBondsIssuesGrp] Part I; [BondIssuerEIN] Part I Column (b),SCHED-K-PART-01-COL-B,SCHED-K,SZ,PART-01,Column (B),PC,EINType,numeric,MANY,SK-P01-T01-BOND-ISSUES,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
