xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleL/DisqualifiedPersonExBnftTrGrp/BusinessName/BusinessNameLine1,SL_01_TRANSAC_DSQ_NAME_ORG_L1,Business Name - BusinessNameLine1,[DisqualifiedPersonExBnftTrGrp] Part I Line 1; [BusinessName] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,BusinessNameLine1Type,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleL/DisqualifiedPersonExBnftTrGrp/BusinessName/BusinessNameLine1Txt,SL_01_TRANSAC_DSQ_NAME_ORG_L1,Business Name - BusinessNameLine1Txt,[DisqualifiedPersonExBnftTrGrp] Part I Line 1; [BusinessName] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,BusinessNameLine1Type,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleL/DQPTable/NameBusiness/BusinessNameLine1,SL_01_TRANSAC_DSQ_NAME_ORG_L1,Name Business - BusinessNameLine1,[DQPTable] Part I Line 1; [NameBusiness] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,BusinessNameLine1Type,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleL/Form990ScheduleLPartI/DQPTable/NameBusiness/BusinessNameLine1,SL_01_TRANSAC_DSQ_NAME_ORG_L1,Name Business - BusinessNameLine1,,SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,,,,,,
/Return/ReturnData/IRS990ScheduleL/DisqualifiedPersonExBnftTrGrp/BusinessName/BusinessNameLine2,SL_01_TRANSAC_DSQ_NAME_ORG_L2,Business Name - BusinessNameLine2,[DisqualifiedPersonExBnftTrGrp] Part I Line 1; [BusinessName] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleL/DisqualifiedPersonExBnftTrGrp/BusinessName/BusinessNameLine2Txt,SL_01_TRANSAC_DSQ_NAME_ORG_L2,Business Name - BusinessNameLine2Txt,[DisqualifiedPersonExBnftTrGrp] Part I Line 1; [BusinessName] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleL/DQPTable/NameBusiness/BusinessNameLine2,SL_01_TRANSAC_DSQ_NAME_ORG_L2,Name Business - BusinessNameLine2,[DQPTable] Part I Line 1; [NameBusiness] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,BusinessNameLine2Type,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleL/Form990ScheduleLPartI/DQPTable/NameBusiness/BusinessNameLine2,SL_01_TRANSAC_DSQ_NAME_ORG_L2,Name Business - BusinessNameLine2,,SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,,,,,,
/Return/ReturnData/IRS990ScheduleL/DisqualifiedPersonExBnftTrGrp/PersonNm,SL_01_TRANSAC_DSQ_NAME_PERS,Disqualified Person Ex Bnft Tr Grp - Name - Person,[DisqualifiedPersonExBnftTrGrp] Part I Line 1; [PersonNm] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,PersonNameType,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleL/DQPTable/NamePerson,SL_01_TRANSAC_DSQ_NAME_PERS,DQPTable - Name - Person,[DQPTable] Part I Line 1; [NamePerson] Part I Column (1a),SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,PersonNameType,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleL/Form990ScheduleLPartI/DQPTable/NamePerson,SL_01_TRANSAC_DSQ_NAME_PERS,DQPTable - Name - Person,,SCHED-L-PART-01-LINE-01-COL-A,SCHED-L,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SL-P01-T01-EXCESS-BENEFIT-TRANSAC,,,,,,,
