xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleM/WorksOfArt/NonCashCheckbox,SM_01_ART_WORK_NONCSH_X,Checkbox for lines on Part I,[WorksOfArt] Part I Line 1; [NonCashCheckbox] Column (a),SCHED-M-PART-01-LINE-01-COL-A,SCHED-M,SZ,PART-01,Line 01 Column (A),PC,CheckboxType,checkbox,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArtGrp/NonCashCheckboxInd,SM_01_ART_WORK_NONCSH_X,Checkbox for lines on Part I,[WorksOfArtGrp] Part I Line 1; [NonCashCheckboxInd] Column (a),SCHED-M-PART-01-LINE-01-COL-A,SCHED-M,SZ,PART-01,Line 01 Column (A),PC,CheckboxType,checkbox,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleM/Form990ScheduleMPartI/WorksOfArt/NonCashCheckbox,SM_01_ART_WORK_NONCSH_X,Checkbox for line on Part I,,SCHED-M-PART-01-LINE-01-COL-A,SCHED-M,SZ,PART-01,Line 01 Column (A),PC,,checkbox,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,,,,,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArt/NumberOfContributions,SM_01_ART_WORK_NUM_CONTR,Number of contributions,[WorksOfArt] Part I Line 1; [NumberOfContributions] Column (b),SCHED-M-PART-01-LINE-01-COL-B,SCHED-M,SZ,PART-01,Line 01 Column (B),PC,IntegerNNType,numeric,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArtGrp/ContributionCnt,SM_01_ART_WORK_NUM_CONTR,Number of contributions,[WorksOfArtGrp] Part I Line 1; [ContributionCnt] Column (b),SCHED-M-PART-01-LINE-01-COL-B,SCHED-M,SZ,PART-01,Line 01 Column (B),PC,IntegerNNType,numeric,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleM/Form990ScheduleMPartI/WorksOfArt/NumberOfContributions,SM_01_ART_WORK_NUM_CONTR,Number of contributions,,SCHED-M-PART-01-LINE-01-COL-B,SCHED-M,SZ,PART-01,Line 01 Column (B),PC,,numeric,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,,,,,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArt/NoncashContribsRptdF990,SM_01_ART_WORK_NONCSH_CONTR,Revenues reported on F990; Pt VIII; line 1g,[WorksOfArt] Part I Line 1; [NoncashContribsRptdF990] Column (c),SCHED-M-PART-01-LINE-01-COL-C,SCHED-M,SZ,PART-01,Line 01 Column (C),PC,USAmountType,numeric,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArtGrp/NoncashContributionsRptF990Amt,SM_01_ART_WORK_NONCSH_CONTR,Revenues reported on F990; Pt VIII; line 1g,[WorksOfArtGrp] Part I Line 1; [NoncashContributionsRptF990Amt] Column (c),SCHED-M-PART-01-LINE-01-COL-C,SCHED-M,SZ,PART-01,Line 01 Column (C),PC,USAmountType,numeric,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleM/Form990ScheduleMPartI/WorksOfArt/RevenuesReportedLine1G,SM_01_ART_WORK_NONCSH_CONTR,Revenues reported on F990; Pt VIII; line 1g,,SCHED-M-PART-01-LINE-01-COL-C,SCHED-M,SZ,PART-01,Line 01 Column (C),PC,,numeric,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,,,,,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArt/MethodOfDeterminingRevenues,SM_01_ART_WORK_METHOD_REV,Method of determining revenues,[WorksOfArt] Part I Line 1; [MethodOfDeterminingRevenues] Column (d),SCHED-M-PART-01-LINE-01-COL-D,SCHED-M,SZ,PART-01,Line 01 Column (D),PC,LineExplanationType,text,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleM/WorksOfArtGrp/MethodOfDeterminingRevenuesTxt,SM_01_ART_WORK_METHOD_REV,Method of determining revenues,[WorksOfArtGrp] Part I Line 1; [MethodOfDeterminingRevenuesTxt] Column (d),SCHED-M-PART-01-LINE-01-COL-D,SCHED-M,SZ,PART-01,Line 01 Column (D),PC,LineExplanationType,text,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleM/Form990ScheduleMPartI/WorksOfArt/MethodOfDeterminingRevenues,SM_01_ART_WORK_METHOD_REV,Method of determining revenues,,SCHED-M-PART-01-LINE-01-COL-D,SCHED-M,SZ,PART-01,Line 01 Column (D),PC,,text,ONE,SM-P01-T00-NONCASH-CONTRIBUTIONS,,,,,,,
