xpath,variable_name,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/InfoInScheduleOPartVIII,F9_08_INFO_SCHED_O_X,Schedule O contains a response to a question in Part VIII,[InfoInScheduleOPartVIII] Part VIII,F990-PC-PART-08-LINE-00,F990-PC-PART-08-LINE-00,F990,PC,PART-08,Line 00,PC,,checkbox,ONE,F9-P08-T00-REVENUE,,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/InfoInScheduleOPartVIIIInd,F9_08_INFO_SCHED_O_X,Schedule O contains a response to a question in Part VIII,[InfoInScheduleOPartVIIIInd] Part VIII,F990-PC-PART-08-LINE-00,F990-PC-PART-08-LINE-00,F990,PC,PART-08,Line 00,PC,CheckboxType,checkbox,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/FederatedCampaigns,F9_08_REV_CONTR_FED_CAMP,Federated campaigns,[FederatedCampaigns] Part VIII Line 1a,F990-PC-PART-08-LINE-01A,F990-PC-PART-08-LINE-01A,F990,PC,PART-08,Line 01a,PC,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/FederatedCampaignsAmt,F9_08_REV_CONTR_FED_CAMP,Federated campaigns,[FederatedCampaignsAmt] Part VIII Line 1a,F990-PC-PART-08-LINE-01A,F990-PC-PART-08-LINE-01A,F990,PC,PART-08,Line 01a,PC,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIII/FederatedCampaigns,F9_08_REV_CONTR_FED_CAMP,Federated campaigns,,F990-PC-PART-08-LINE-01A,F990-PC-PART-08-LINE-01A,F990,PC,PART-08,Line 01a,PC,,numeric,ONE,F9-P08-T00-REVENUE,,,,,,,
/Return/ReturnData/IRS990EZ/MembershipDues,F9_08_REV_CONTR_MEMBSHIP_DUE,Membership Dues,[MembershipDues] Part I Line 3,F990-PC-PART-08-LINE-01B,F990-EZ-PART-01-LINE-03,F990,EZ,PART-01,Line 03,PZ,USAmountNNType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990EZ/MembershipDuesAmt,F9_08_REV_CONTR_MEMBSHIP_DUE,Membership Dues,[MembershipDuesAmt] Part I Line 3,F990-PC-PART-08-LINE-01B,F990-EZ-PART-01-LINE-03,F990,EZ,PART-01,Line 03,PZ,USAmountNNType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/MembershipDues,F9_08_REV_CONTR_MEMBSHIP_DUE,Membership Dues,[MembershipDues] Part VIII Line 1b,F990-PC-PART-08-LINE-01B,F990-PC-PART-08-LINE-01B,F990,PC,PART-08,Line 01b,PZ,USAmountNNType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/MembershipDuesAmt,F9_08_REV_CONTR_MEMBSHIP_DUE,Membership Dues,[MembershipDuesAmt] Part VIII Line 1b,F990-PC-PART-08-LINE-01B,F990-PC-PART-08-LINE-01B,F990,PC,PART-08,Line 01b,PZ,USAmountType,numeric,ONE,F9-P08-T00-REVENUE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartVIII/FundraisingEvents,F9_08_REV_CONTR_FUNDR_EVNT,Fundraising events,,F990-PC-PART-08-LINE-01C,F990-PC-PART-08-LINE-01C,F990,PC,PART-08,Line 01c,PC,,numeric,ONE,F9-P08-T00-REVENUE,,,,,,,
