xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleN/Form990ScheduleNPartI/LiquidationTable/DescriptionOfAsset,SN_01_LTD_ASSET_DIST_DESC,Description of asset(s) distributed or transactional expenses paid,,SCHED-N-PART-01-LINE-01-COL-A,SCHED-N,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,,,,,,
/Return/ReturnData/IRS990ScheduleN/LiquidationOfAssetsTableGrp/LiquidationOfAssetsDetail/AssetsDistriOrExpnssPaidDesc,SN_01_LTD_ASSET_DIST_DESC,Description of asset(s) distributed or transactional expenses paid,[LiquidationOfAssetsTableGrp] Part I Line 1; [AssetsDistriOrExpnssPaidDesc] Column (a),SCHED-N-PART-01-LINE-01-COL-A,SCHED-N,SZ,PART-01,Line 01 Column (A),PZ,ShortExplanationType,text,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleN/LiquidationTable/DescriptionOfAsset,SN_01_LTD_ASSET_DIST_DESC,Description of asset(s) distributed or transactional expenses paid,,SCHED-N-PART-01-LINE-01-COL-A,SCHED-N,SZ,PART-01,Line 01 Column (A),PZ,,text,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,,,,,,
/Return/ReturnData/IRS990ScheduleN/LiquidationTable/LiquidationDetail/DescriptionOfAsset,SN_01_LTD_ASSET_DIST_DESC,Description of asset(s) distributed or transactional expenses paid,[LiquidationTable] Part I Line 1; [DescriptionOfAsset] Column (a),SCHED-N-PART-01-LINE-01-COL-A,SCHED-N,SZ,PART-01,Line 01 Column (A),PZ,ShortExplanationType,text,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleN/Form990ScheduleNPartI/LiquidationTable/DateOfDistribution,SN_01_LTD_ASSET_DIST_DATE,Date of distribution,,SCHED-N-PART-01-LINE-01-COL-B,SCHED-N,SZ,PART-01,Line 01 Column (B),PZ,,date,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,,,,,,
/Return/ReturnData/IRS990ScheduleN/LiquidationTable/DateOfDistribution,SN_01_LTD_ASSET_DIST_DATE,Date of distribution,,SCHED-N-PART-01-LINE-01-COL-B,SCHED-N,SZ,PART-01,Line 01 Column (B),PZ,,date,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,,,,,,
/Return/ReturnData/IRS990ScheduleN/LiquidationTable/LiquidationDetail/DateOfDistribution,SN_01_LTD_ASSET_DIST_DATE,Date of distribution,[LiquidationTable] Part I Line 1; [DateOfDistribution] Column (b),SCHED-N-PART-01-LINE-01-COL-B,SCHED-N,SZ,PART-01,Line 01 Column (B),PZ,DateType,date,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990ScheduleN/LiquidationOfAssetsTableGrp/LiquidationOfAssetsDetail/DistributionDt,SN_01_LTD_ASSET_DIST_DATE,Date of distribution,[LiquidationOfAssetsTableGrp] Part I Line 1; [DistributionDt] Column (b),SCHED-N-PART-01-LINE-01-COL-B,SCHED-N,SZ,PART-01,Line 01 Column (B),PZ,DateType,date,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleN/Form990ScheduleNPartI/LiquidationTable/FMVOfAsset,SN_01_LTD_ASSET_DIST_FMV,Fair market value of asset(s) distributed or amount of transactional expenses,,SCHED-N-PART-01-LINE-01-COL-C,SCHED-N,SZ,PART-01,Line 01 Column (C),PZ,,numeric,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,,,,,,
/Return/ReturnData/IRS990ScheduleN/LiquidationTable/FMVOfAsset,SN_01_LTD_ASSET_DIST_FMV,Fair market value of asset(s) distributed or amount of transactional expenses,,SCHED-N-PART-01-LINE-01-COL-C,SCHED-N,SZ,PART-01,Line 01 Column (C),PZ,,numeric,MANY,SN-P01-T01-LIQUIDATION-TERMINATION-DISSOLUTION,,,,,,,
