xpath,variable_name,description,location_code_xsd,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990ScheduleR/Form990ScheduleRPartI/AddressForeign/City,SR_01_DISREG_ENTITY_ADDR_CITY,Address Foreign - City,[AddressForeign] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,TextType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleR/Form990ScheduleRPartI/AddressUS/City,SR_01_DISREG_ENTITY_ADDR_CITY,Address US - City,[AddressUS] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,CityType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/ForeignAddress/City,SR_01_DISREG_ENTITY_ADDR_CITY,Foreign Address - City,[ForeignAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,TextType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/ForeignAddress/CityNm,SR_01_DISREG_ENTITY_ADDR_CITY,Foreign Address - City,[ForeignAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,TextType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/USAddress/City,SR_01_DISREG_ENTITY_ADDR_CITY,USAddress - City,[USAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,CityType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/USAddress/CityNm,SR_01_DISREG_ENTITY_ADDR_CITY,USAddress - CityNm,[USAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,CityType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleR/Form990ScheduleRPartI/AddressForeign/Country,SR_01_DISREG_ENTITY_ADDR_CNTR,Address Foreign - Country,[AddressForeign] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,CountryType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/ForeignAddress/Country,SR_01_DISREG_ENTITY_ADDR_CNTR,Foreign Address - Country,[ForeignAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,CountryType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/ForeignAddress/CountryCd,SR_01_DISREG_ENTITY_ADDR_CNTR,Foreign Address - Country,[ForeignAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,CountryType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990ScheduleR/Form990ScheduleRPartI/AddressForeign/AddressLine1,SR_01_DISREG_ENTITY_ADDR_L1,Address Foreign - AddressLine1,[AddressForeign] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,StreetAddressType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleR/Form990ScheduleRPartI/AddressUS/AddressLine1,SR_01_DISREG_ENTITY_ADDR_L1,Address US - AddressLine1,[AddressUS] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,StreetAddressType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990ScheduleR/IdDisregardedEntitiesGrp/ForeignAddress/AddressLine1,SR_01_DISREG_ENTITY_ADDR_L1,Foreign Address - AddressLine1,[ForeignAddress] Part I Column (a),SCHED-R-PART-01-COL-A,SCHED-R,SZ,PART-01,Column (A),PC,StreetAddressType,text,MANY,SR-P01-T01-ID-DISREGARDED-ENTITIES,,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
