version,variable,count
2012v2.3,,10899
2016v3.0,,555268
2012v2.1,,19997
2009v1.7,,7105
2015v2.0,,46715
2015v2.1,,104966
2010v3.7,,3354
2014v6.0,,48918
2010v3.2,,2095
2009v1.2,,35
2012v3.0,,42
2010v3.6,,1
2013v3.1,,112434
2013v4.0,,43009
2011v1.3,,3377
2009v1.4,,482
2010v3.4,,15468
2011v1.5,,13061
2011v1.2,,12253
2012v2.2,,1068
2012v2.0,,470
2016v3.1,,425
2009v1.3,,10
2014v5.0,,140029
2013v3.0,,13914
2015v3.0,,40350
2013v3.0,AF_01_PF_ACCFEEDETCAT,11018
2014v6.0,AF_01_PF_ACCFEEDETCAT,3878
2016v3.1,AF_01_PF_ACCFEEDETCAT,7
2014v5.0,AF_01_PF_ACCFEEDETCAT,30040
2015v2.0,AF_01_PF_ACCFEEDETCAT,8881
2015v2.1,AF_01_PF_ACCFEEDETCAT,24706
2016v3.0,AF_01_PF_ACCFEEDETCAT,17264
2015v3.0,AF_01_PF_ACCFEEDETCAT,3241
2013v3.1,AF_01_PF_ACCFEEDETCAT,13999
2013v4.0,AF_01_PF_ACCFEEDETCAT,3371
2009v1.7,AF_01_PF_ACCOFEESAMOU,1070
2012v2.3,AF_01_PF_ACCOFEESAMOU,1540
2009v1.4,AF_01_PF_ACCOFEESAMOU,274
2012v2.2,AF_01_PF_ACCOFEESAMOU,584
2011v1.2,AF_01_PF_ACCOFEESAMOU,21239
2011v1.5,AF_01_PF_ACCOFEESAMOU,1658
2010v3.7,AF_01_PF_ACCOFEESAMOU,300
2011v1.3,AF_01_PF_ACCOFEESAMOU,331
2012v3.0,AF_01_PF_ACCOFEESAMOU,42
2010v3.6,AF_01_PF_ACCOFEESAMOU,31
2012v2.1,AF_01_PF_ACCOFEESAMOU,18563
2012v2.0,AF_01_PF_ACCOFEESAMOU,5891
2010v3.4,AF_01_PF_ACCOFEESAMOU,4491
2009v1.3,AF_01_PF_ACCOFEESAMOU,315
2010v3.2,AF_01_PF_ACCOFEESAMOU,11940
2009v1.2,AF_01_PF_ACCOFEESAMOU,23
2011v1.3,AF_01_PF_ACCOFEESCATE,346
2012v2.3,AF_01_PF_ACCOFEESCATE,1514
2012v3.0,AF_01_PF_ACCOFEESCATE,38
2012v2.2,AF_01_PF_ACCOFEESCATE,584
2010v3.7,AF_01_PF_ACCOFEESCATE,299
2010v3.2,AF_01_PF_ACCOFEESCATE,11514
2012v2.0,AF_01_PF_ACCOFEESCATE,5278
